#{"t_start": 1765485402.7523077, "env_id": "None"}
r,l,t
299.6,94,0.929291
315.0,92,1.407506
298.6,99,2.401769
314.2,96,3.097246
299.0,97,3.911978
313.8,98,4.607586
313.4,100,5.302154
313.4,100,5.938349
300.2,91,6.564565
284.0,97,7.135272
299.4,95,51.932099
314.0,97,52.411846
283.4,100,53.141
283.6,99,53.989557
299.2,96,54.757457
329.6,94,55.736222
298.4,100,56.612675
298.6,99,57.294095
268.8,98,57.904997
313.6,99,58.463181
284.6,94,59.088098
283.4,100,192.220903
299.2,96,195.603046
301.2,86,202.920141
283.4,100,207.666611
298.6,99,209.114606
299.2,96,210.59203
283.8,98,212.928891
314.0,97,216.459184
269.2,96,221.331041
329.2,96,222.708975
283.6,99,368.941972
270.8,88,369.629397
298.8,98,370.548403
283.6,99,371.235635
299.6,94,371.879921
298.6,99,372.560989
315.0,92,373.143559
313.8,98,373.800086
298.8,98,374.6432
299.0,97,375.425271
298.4,100,376.217721
284.0,97,443.768049
313.8,98,444.619731
328.6,99,445.532813
286.6,84,446.263852
313.8,98,447.144352
299.0,97,447.84261
299.0,97,448.463993
284.6,94,449.021369
285.4,90,449.572023
298.8,98,450.240079
315.6,89,450.788062
283.4,100,612.417812
316.6,84,614.409355
314.2,96,616.705731
314.2,96,619.143126
284.0,97,621.469923
283.8,98,624.237411
299.8,93,626.54214
313.4,100,629.034787
314.8,93,631.248852
283.8,98,633.786824
314.6,94,841.04475
314.0,97,842.776702
268.4,100,847.905931
284.4,95,850.493257
330.4,90,851.305813
299.4,95,851.971152
284.4,95,852.591244
300.4,90,853.221562
313.4,100,853.845273
331.2,86,854.399622
299.0,97,855.810732
286.8,83,924.85533
313.6,99,925.470973
299.2,96,926.048404
299.8,93,926.645184
313.4,100,927.237287
329.0,97,927.790648
298.6,99,928.406748
300.6,89,928.936667
313.4,100,929.535401
299.0,97,930.157321
328.6,99,930.750385
316.0,87,1013.860158
299.0,97,1016.340185
299.2,96,1018.721352
314.4,95,1021.361497
328.4,100,1023.608331
300.4,90,1025.759878
298.6,99,1028.209042
284.4,95,1030.542749
299.6,94,1032.820137
314.6,94,1035.141927
284.2,96,1037.630323
299.4,95,1232.349202
298.4,100,1234.712446
313.6,99,1237.172209
283.6,99,1240.269897
299.2,96,1242.623425
345.2,91,1244.870127
300.6,89,1247.013926
314.4,95,1249.361734
298.4,100,1254.354286
302.2,81,1256.510007
313.6,99,1259.10157
284.2,96,1339.904293
314.0,97,1340.510145
298.4,100,1341.091817
286.2,86,1341.62477
299.6,94,1342.209109
283.4,100,1342.785798
314.4,95,1343.353542
299.8,93,1343.907413
328.8,98,1344.512289
313.6,99,1345.206843
283.4,100,1521.502263
298.8,98,1525.880132
283.6,99,1531.607795
285.0,92,1533.636598
284.2,96,1535.000383
298.8,98,1536.415071
314.6,94,1541.199892
298.6,99,1542.83446
286.0,87,1544.324387
298.8,98,1550.154231
313.8,98,1552.772007
298.6,99,1641.222556
268.4,100,1641.825521
316.4,85,1642.360336
331.4,85,1642.974637
298.4,100,1643.708411
328.8,98,1644.351882
313.6,99,1644.982372
314.2,96,1645.704284
329.2,96,1646.496067
284.0,97,1647.346216
314.4,95,1648.036741
