#{"t_start": 1765485402.7523077, "env_id": "None"}
r,l,t
284.8,93,0.922844
299.4,95,1.413656
314.6,94,2.376219
299.6,94,3.067852
313.6,99,3.892812
284.2,96,4.563075
313.8,98,5.247893
314.2,96,5.856772
301.0,87,6.456352
299.8,93,7.020236
298.4,100,51.850444
298.6,99,52.356575
269.2,96,53.04124
283.8,98,53.830968
314.0,97,54.64741
330.0,92,55.58649
268.6,99,56.43973
299.8,93,57.144315
299.0,97,57.773857
313.6,99,58.303846
298.6,99,58.951459
330.0,92,191.807043
314.6,94,193.546454
299.6,94,201.098119
314.2,96,207.288512
284.8,93,208.595973
284.4,95,210.115934
299.0,97,211.664102
314.8,93,215.100803
299.4,95,219.163424
300.0,92,222.028879
313.8,98,225.34686
298.6,99,369.346083
315.2,91,370.226846
316.4,85,370.823214
313.4,100,371.549016
298.4,100,372.256787
298.6,99,372.856418
287.0,82,373.439522
283.8,98,374.210732
313.4,100,375.079753
314.2,96,375.728535
298.6,99,443.277816
316.0,87,444.037418
313.8,98,444.885829
284.0,97,445.782279
314.6,94,446.609024
314.0,97,447.493006
315.2,91,448.063842
299.8,93,448.620029
313.6,99,449.21016
314.6,94,449.832875
313.8,98,450.45695
285.8,88,610.821622
298.8,98,613.216836
283.4,100,615.604363
269.2,96,618.048558
329.2,96,620.351704
298.4,100,623.052315
271.6,84,625.254498
298.8,98,627.589099
298.6,99,630.037811
300.0,92,632.33835
313.4,100,634.844682
298.4,100,842.08473
286.2,86,844.710324
301.4,85,849.076198
299.8,93,850.606682
300.0,92,851.486052
301.6,84,852.057014
343.8,98,852.692533
254.0,97,853.357428
298.8,98,853.96936
313.6,99,855.171418
299.8,93,856.150466
298.4,100,925.140115
253.8,98,925.749255
285.8,88,926.288662
314.4,95,926.885011
299.0,97,927.455271
299.2,96,928.009521
333.2,76,928.488689
301.8,83,928.979454
284.8,93,929.535401
302.0,82,930.05562
329.0,97,930.64974
301.4,85,1013.411368
313.6,99,1015.849983
284.0,97,1018.331931
283.4,100,1021.111659
283.6,99,1023.319977
314.2,96,1025.620274
298.4,100,1028.090067
284.2,96,1030.430159
269.0,97,1032.799207
302.8,78,1034.702871
314.2,96,1037.131365
298.6,99,1232.010172
329.2,96,1234.33149
287.6,79,1236.321963
284.0,97,1239.327251
314.4,95,1241.635522
284.0,97,1244.041989
298.4,100,1246.460013
313.6,99,1248.892323
268.8,98,1253.375896
328.8,98,1256.389888
300.2,91,1258.821988
359.6,94,1339.829875
284.4,95,1340.41379
313.8,98,1340.983397
300.4,90,1341.529868
313.8,98,1342.149089
313.8,98,1342.710252
298.4,100,1343.304252
299.6,94,1343.863284
270.0,92,1344.439277
284.4,95,1345.099281
314.4,95,1521.063742
284.8,93,1523.267973
298.6,99,1529.976267
285.0,92,1533.241183
283.6,99,1534.669484
328.4,100,1536.102363
313.4,100,1540.914007
314.6,94,1542.374665
299.0,97,1544.154292
300.8,88,1549.107111
314.0,97,1551.753037
299.0,97,1640.978993
299.0,97,1641.683954
283.4,100,1642.272553
299.2,96,1642.972631
284.8,93,1643.653482
299.0,97,1644.306637
313.6,99,1644.931725
299.2,96,1645.653971
317.2,81,1646.30634
298.4,100,1647.159593
299.2,96,1647.906205
