#{"t_start": 1765485402.7763681, "env_id": "None"}
r,l,t
284.8,93,0.898784
328.6,99,1.405985
283.4,100,2.432439
314.6,94,3.128089
314.2,96,3.911009
298.4,100,4.628709
298.4,100,5.314586
284.2,96,5.930448
299.4,95,6.576324
299.8,93,7.12519
299.4,95,51.916995
299.0,97,52.398277
313.6,99,53.122464
287.0,82,53.816081
299.0,97,54.63318
299.6,94,55.594044
298.8,98,56.439312
313.6,99,57.172264
284.4,95,57.791542
268.6,99,58.320039
284.4,95,58.941424
298.4,100,191.930262
313.4,100,194.485696
283.6,99,202.689614
328.4,100,207.614537
299.6,94,208.987304
314.0,97,210.489928
299.0,97,212.573455
328.4,100,216.271748
300.6,89,221.156821
328.4,100,222.568189
298.8,98,368.872092
283.6,99,369.632169
283.8,98,370.55241
313.6,99,371.238739
301.4,85,371.811134
298.4,100,372.514247
283.8,98,373.12819
298.4,100,373.797232
283.4,100,374.661519
299.2,96,375.431582
299.2,96,376.193661
314.0,97,443.744989
313.8,98,444.596668
313.8,98,445.497753
314.4,95,446.330924
298.6,99,447.218585
301.4,85,447.81455
299.4,95,448.422932
329.8,93,448.972789
284.2,96,449.56426
268.8,98,450.229459
298.8,98,450.810811
298.6,99,612.619779
344.2,96,614.927073
283.4,100,617.365696
285.0,92,619.644647
313.8,98,622.097495
300.0,92,624.62554
300.0,92,626.899792
298.6,99,629.350227
284.6,94,631.606168
283.4,100,634.189729
328.6,99,841.509392
314.4,95,844.257307
298.4,100,848.922476
345.4,90,850.53407
298.4,100,851.47285
314.2,96,852.124439
283.6,99,852.772393
313.4,100,853.457172
283.4,100,854.071882
315.6,89,855.208048
314.0,97,856.33176
298.4,100,925.199054
329.2,96,925.788379
300.2,91,926.361023
314.8,93,926.921695
298.8,98,927.512195
298.8,98,928.081581
283.6,99,928.687889
298.6,99,929.287074
328.4,100,929.899453
300.4,90,930.46577
314.8,93,1012.908164
328.6,99,1015.358088
314.6,94,1017.734283
298.4,100,1020.187957
284.4,95,1022.632484
298.6,99,1025.067703
314.2,96,1027.434295
299.2,96,1029.767467
313.6,99,1032.184964
298.6,99,1034.605953
316.2,86,1036.775827
313.6,99,1231.625767
298.4,100,1234.064014
314.0,97,1236.486052
314.2,96,1239.479638
314.0,97,1241.845765
299.6,94,1244.18435
300.2,91,1246.367495
284.4,95,1248.696118
298.6,99,1252.838174
314.6,94,1256.038054
317.4,80,1258.216097
328.8,98,1339.697422
283.8,98,1340.296692
302.0,82,1340.80616
298.4,100,1341.395372
300.8,88,1341.937333
285.6,89,1342.45323
300.0,92,1342.997981
299.6,94,1343.551869
283.4,100,1344.159683
284.0,97,1344.845907
313.8,98,1345.487518
315.2,91,1522.037474
299.0,97,1527.815151
298.6,99,1532.531917
315.0,92,1534.082439
301.6,84,1535.300103
299.8,93,1536.710434
298.6,99,1541.466994
299.0,97,1543.179367
314.6,94,1544.980964
298.6,99,1550.66088
331.6,84,1553.325255
330.6,89,1641.246054
298.4,100,1641.824097
298.8,98,1642.481373
314.0,97,1643.15578
328.8,98,1643.870497
298.6,99,1644.557327
300.2,91,1645.113515
284.2,96,1645.850666
314.4,95,1646.664602
299.0,97,1647.497036
