#{"t_start": 1765485402.743859, "env_id": "None"}
r,l,t
299.2,96,0.938778
298.8,98,1.465638
299.0,97,2.45542
299.2,96,3.176719
300.4,90,3.910092
284.2,96,4.59475
299.2,96,5.254335
314.6,94,5.851005
298.8,98,6.537534
283.6,99,7.121944
284.0,97,51.930521
283.4,100,52.426333
298.6,99,53.149449
313.4,100,54.010932
314.0,97,54.777607
299.0,97,55.792953
314.2,96,56.632086
315.2,91,57.24899
313.6,99,57.883192
298.8,98,58.419995
313.8,98,59.076983
268.4,100,192.185628
299.4,95,195.332269
298.6,99,203.653272
317.0,82,207.553679
328.8,98,208.978379
313.4,100,210.522437
313.4,100,212.777164
328.6,99,216.42014
314.8,93,221.270295
283.6,99,222.678225
299.4,95,368.912646
313.4,100,369.69876
331.0,87,370.518685
329.2,96,371.179076
283.8,98,371.856697
314.8,93,372.512095
298.8,98,373.123027
299.0,97,373.769617
300.2,91,374.565307
315.8,88,375.289085
298.4,100,376.022516
299.4,95,443.566554
314.6,94,444.393734
270.2,91,445.191508
300.8,88,445.983959
283.6,99,446.917924
317.0,82,447.58827
328.6,99,448.223289
329.2,96,448.761688
298.8,98,449.341668
284.0,97,450.047138
298.6,99,450.656618
299.6,94,611.643513
299.2,96,613.997519
300.2,91,616.156881
299.4,95,618.578328
313.8,98,620.934866
300.0,92,623.433507
298.6,99,626.016312
285.4,90,628.219461
284.6,94,630.492067
300.0,92,632.770218
299.2,96,635.186368
268.6,99,842.254508
313.4,100,845.2015
283.4,100,850.343719
317.2,81,850.877404
284.8,93,851.706394
314.8,93,852.324364
313.8,98,852.983022
300.8,88,853.568276
330.2,91,854.131897
299.6,94,855.297887
315.4,90,856.395844
270.6,89,925.18593
328.8,98,925.780111
284.2,96,926.375256
299.2,96,926.959382
316.6,84,927.466747
284.4,95,928.017969
330.2,91,928.586368
314.4,95,929.137543
268.4,100,929.729922
330.8,88,930.32214
314.4,95,930.887713
299.0,97,1014.650133
269.6,94,1017.060425
283.6,99,1019.472142
299.8,93,1022.12859
315.2,91,1024.092648
302.0,82,1026.066616
313.4,100,1028.533959
329.6,94,1030.877531
285.0,92,1033.098581
299.0,97,1035.455955
283.4,100,1038.133098
268.4,100,1232.858253
284.6,94,1235.138266
313.4,100,1237.607656
302.0,82,1240.278345
329.4,95,1242.607566
314.4,95,1244.960601
286.6,84,1246.970463
299.2,96,1249.340076
299.2,96,1254.098063
314.0,97,1256.806893
284.2,96,1339.367822
329.0,97,1339.96938
329.8,93,1340.552255
286.0,87,1341.063451
315.0,92,1341.617593
298.8,98,1342.232195
315.8,88,1342.728632
269.0,97,1343.306559
283.8,98,1343.894281
343.4,100,1344.512186
268.6,99,1345.208349
300.0,92,1521.387843
253.8,98,1524.502525
286.6,84,1530.114048
330.2,91,1533.266623
299.2,96,1534.653948
298.6,99,1536.065753
301.8,83,1538.218337
328.6,99,1542.138921
298.8,98,1543.9531
298.6,99,1548.611671
315.0,92,1551.563395
313.8,98,1640.948129
283.4,100,1641.669382
343.6,99,1642.236814
298.4,100,1642.973053
284.4,95,1643.671778
272.4,80,1644.200961
313.6,99,1644.838688
329.2,96,1645.536049
298.8,98,1646.324583
298.8,98,1647.16002
314.6,94,1647.891581
