#{"t_start": 1765485402.7723758, "env_id": "None"}
r,l,t
314.6,94,0.909742
314.4,95,1.405303
284.2,96,2.383708
298.4,100,3.120974
298.4,100,3.932638
301.2,86,4.548934
313.4,100,5.233357
283.4,100,5.880028
315.0,92,6.515306
285.2,91,7.050053
284.2,96,51.867545
286.8,83,52.28413
298.8,98,52.971161
269.2,96,53.731648
285.4,90,54.497843
315.8,88,55.308541
314.4,95,56.105153
314.6,94,56.945221
300.6,89,57.540826
283.8,98,58.087442
315.0,92,58.639954
300.2,91,191.2074
284.6,94,192.527922
284.8,93,196.827817
299.8,93,206.119357
284.0,97,207.971946
344.8,93,209.362927
329.2,96,210.871081
286.8,83,213.078079
328.8,98,216.645693
284.0,97,221.375662
298.4,100,222.888635
298.4,100,368.98399
301.6,84,369.672262
285.4,90,370.511978
331.4,85,371.0868
328.4,100,371.78651
299.4,95,372.472945
317.0,82,372.94768
315.0,92,373.575728
314.8,93,374.354259
284.4,95,375.186379
283.8,98,375.850263
314.2,96,443.396438
313.4,100,444.268017
270.0,92,445.074461
283.4,100,445.97346
298.6,99,446.905997
302.2,81,447.567762
316.4,85,448.103558
344.6,94,448.647069
284.8,93,449.209576
299.4,95,449.849808
316.8,83,450.386882
299.4,95,610.738296
298.4,100,613.179899
283.6,99,615.536503
313.4,100,618.071205
299.0,97,620.427786
329.2,96,622.993884
283.8,98,625.536482
315.0,92,627.729615
268.8,98,630.159995
283.4,100,632.629484
298.8,98,635.124182
315.6,89,842.079234
283.6,99,844.949104
347.0,82,849.565592
314.4,95,850.685566
315.4,90,851.54455
328.6,99,852.206378
302.4,80,852.725541
301.0,87,853.335348
298.8,98,853.937208
313.8,98,855.130322
298.4,100,856.193264
298.6,99,925.14465
300.0,92,925.717471
299.0,97,926.303596
300.0,92,926.876476
283.4,100,927.459936
314.2,96,928.027206
313.8,98,928.623872
299.2,96,929.212734
329.6,94,929.748414
316.6,84,930.318954
298.6,99,930.906188
299.6,94,1014.751841
300.4,90,1017.059969
299.2,96,1019.38984
344.8,93,1022.073813
298.6,99,1024.201359
330.4,90,1026.375727
287.8,78,1028.315878
314.0,97,1030.771482
298.8,98,1033.103348
298.6,99,1035.48897
300.4,90,1037.929992
284.6,94,1232.537287
329.0,97,1234.851215
300.6,89,1237.079793
329.2,96,1240.088889
316.4,85,1242.230024
298.4,100,1244.633965
301.4,85,1246.6844
288.2,76,1248.529118
298.4,100,1252.72999
268.6,99,1256.040004
313.6,99,1258.74981
298.4,100,1339.837459
283.8,98,1340.440747
299.6,94,1340.984727
298.4,100,1341.597134
317.0,82,1342.107436
313.8,98,1342.669951
299.0,97,1343.241637
329.6,94,1343.816834
302.2,81,1344.308614
298.8,98,1344.993608
346.6,84,1345.562001
300.4,90,1522.180624
298.8,98,1528.163629
299.8,93,1532.658008
316.0,87,1534.05905
329.0,97,1535.447932
314.0,97,1536.956479
300.6,89,1541.545926
298.6,99,1543.299003
314.2,96,1545.829932
315.0,92,1550.704388
313.4,100,1553.582136
283.6,99,1641.414538
298.4,100,1641.998309
298.8,98,1642.686354
313.4,100,1643.375816
299.2,96,1644.080362
299.0,97,1644.722989
283.8,98,1645.369788
328.6,99,1646.162172
315.2,91,1646.94311
329.4,95,1647.717073
