#{"t_start": 1765485402.7682254, "env_id": "None"}
r,l,t
298.8,98,0.931141
284.4,95,1.431927
298.8,98,2.431054
284.6,94,3.125124
298.4,100,3.936789
313.6,99,4.650949
300.0,92,5.286237
314.2,96,5.891301
298.4,100,6.584467
313.4,100,7.176576
313.4,100,51.983728
268.6,99,52.517973
298.4,100,53.25389
298.8,98,54.134673
331.8,83,54.749864
299.4,95,55.738248
330.2,91,56.545932
301.0,87,57.168341
298.4,100,57.819966
300.8,88,58.273945
313.4,100,58.926285
314.2,96,191.836646
283.6,99,193.935283
298.6,99,202.189026
314.2,96,207.467171
329.6,94,208.809759
283.6,99,210.342965
299.2,96,212.023572
285.2,91,215.695191
298.6,99,221.02115
301.0,87,222.218437
299.2,96,225.825656
269.4,95,369.390253
285.2,91,370.287984
328.4,100,370.965674
298.8,98,371.656645
314.4,95,372.370759
299.6,94,372.911359
299.4,95,373.577117
284.0,97,374.371129
283.8,98,375.210666
313.6,99,375.886826
302.0,82,443.323788
298.6,99,444.180804
314.0,97,445.033923
284.4,95,445.890592
315.4,90,446.701346
314.6,94,447.530744
285.4,90,448.099708
315.8,88,448.622226
283.4,100,449.213727
284.2,96,449.863958
313.4,100,450.495207
283.4,100,611.292297
330.8,88,613.465275
298.8,98,615.779555
313.8,98,618.253893
300.6,89,620.431936
300.2,91,622.805784
283.4,100,625.47097
283.8,98,627.894908
299.4,95,630.164145
284.6,94,632.506228
298.6,99,635.006989
317.8,78,841.771185
300.8,88,844.431639
313.8,98,849.060281
283.6,99,850.629666
283.6,99,851.559735
313.8,98,852.217327
283.8,98,852.849968
299.4,95,853.512225
314.0,97,854.107531
314.8,93,855.267565
285.4,90,856.355771
315.4,90,925.163568
298.4,100,925.763788
316.2,86,926.303109
268.8,98,926.904482
288.4,75,927.361365
298.4,100,927.937857
315.6,89,928.486725
314.6,94,929.046758
268.4,100,929.640099
298.4,100,930.297774
283.4,100,930.891648
328.6,99,1014.784431
299.6,94,1017.174248
330.2,91,1019.39399
329.8,93,1022.077963
298.4,100,1024.236575
299.2,96,1026.544357
315.8,88,1028.724141
298.4,100,1031.118502
300.6,89,1033.375927
314.8,93,1035.612097
313.4,100,1038.291402
285.2,91,1232.818386
314.6,94,1235.095637
313.4,100,1237.535451
299.4,95,1240.565917
299.0,97,1242.908914
299.6,94,1245.257648
314.4,95,1247.55385
329.0,97,1249.895574
299.8,93,1254.77562
284.0,97,1257.358955
300.0,92,1339.454088
283.4,100,1340.080508
284.4,95,1340.680736
299.4,95,1341.216169
344.6,94,1341.80421
298.8,98,1342.384684
299.0,97,1342.962034
298.4,100,1343.539968
343.6,99,1344.144328
328.4,100,1344.845994
283.6,99,1345.494116
313.8,98,1522.162081
315.4,90,1527.823293
313.4,100,1532.560518
285.6,89,1534.0632
299.0,97,1535.452083
299.4,95,1536.923313
314.2,96,1541.625417
299.0,97,1543.346395
313.4,100,1546.208709
328.8,98,1551.026756
315.2,91,1640.654148
283.4,100,1641.452732
283.4,100,1642.037161
298.4,100,1642.730875
328.6,99,1643.426922
331.0,87,1644.053432
298.8,98,1644.71738
299.4,95,1645.336608
331.0,87,1645.990851
300.6,89,1646.793207
298.6,99,1647.631947
