#{"t_start": 1765485402.7271156, "env_id": "None"}
r,l,t
301.0,87,0.905686
301.0,87,1.357373
298.8,98,2.33718
298.8,98,3.03791
283.4,100,3.888823
298.4,100,4.581091
268.6,99,5.271078
329.0,97,5.889808
287.0,82,6.454089
315.0,92,7.009943
283.4,100,51.834505
313.6,99,52.351116
300.0,92,53.016421
298.8,98,53.790536
313.8,98,54.612924
283.4,100,55.608828
330.6,89,56.305743
272.2,81,57.004229
328.4,100,57.689673
316.2,86,58.143204
269.6,94,58.710889
283.8,98,191.399148
328.8,98,192.799459
283.8,98,199.487991
300.6,89,206.792982
298.6,99,208.267842
299.2,96,209.77236
299.8,93,211.223907
313.6,99,214.173972
328.6,99,218.682696
328.8,98,221.90159
299.6,94,224.612201
331.0,87,369.155541
284.8,93,370.051864
314.6,94,370.751394
298.8,98,371.445161
284.0,97,372.110623
298.6,99,372.777164
316.6,84,373.348186
299.8,93,374.007896
299.2,96,374.829995
300.4,90,375.512408
314.4,95,376.26809
313.8,98,443.831491
315.8,88,444.5923
314.6,94,445.459819
299.6,94,446.279
329.2,96,447.139547
298.6,99,447.8628
299.4,95,448.471186
299.2,96,449.041559
284.0,97,449.643032
283.4,100,450.317664
298.8,98,450.90006
313.6,99,612.810277
315.0,92,615.024247
300.0,92,617.240237
268.4,100,619.741469
313.8,98,622.183302
298.8,98,624.898048
298.6,99,627.295825
299.8,93,629.625432
300.8,88,631.735686
299.0,97,634.237774
302.8,78,841.099771
285.8,88,842.694131
299.4,95,845.907212
314.6,94,850.451548
314.2,96,851.282239
300.2,91,851.922268
300.2,91,852.514828
298.6,99,853.20208
301.2,86,853.748753
315.6,89,854.305661
287.2,81,855.406826
283.6,99,856.664259
314.2,96,925.389307
314.8,93,925.928843
301.0,87,926.478223
299.0,97,927.050657
313.4,100,927.66322
329.6,94,928.218557
268.8,98,928.807632
284.0,97,929.380169
298.6,99,930.005037
298.6,99,930.633635
298.6,99,1013.556866
314.6,94,1015.86727
284.0,97,1018.355458
299.6,94,1020.885198
268.4,100,1023.200576
283.6,99,1025.597016
329.0,97,1028.008715
328.6,99,1030.413658
317.6,79,1032.360993
315.0,92,1034.596539
284.0,97,1037.037747
313.6,99,1231.896259
299.6,94,1234.19657
269.2,96,1236.574313
314.2,96,1239.57683
313.4,100,1242.051991
329.2,96,1244.390943
315.2,91,1246.587123
299.2,96,1248.936477
299.6,94,1253.054952
315.6,89,1256.037151
313.6,99,1258.759082
299.6,94,1339.825346
298.4,100,1340.445026
314.6,94,1340.99097
313.8,98,1341.590357
299.2,96,1342.189223
313.8,98,1342.749425
313.4,100,1343.351219
283.6,99,1343.94679
313.6,99,1344.558997
314.0,97,1345.239644
313.6,99,1521.525734
328.6,99,1526.04135
328.8,98,1531.632987
314.4,95,1533.699381
283.4,100,1535.130567
329.0,97,1536.536458
284.8,93,1541.286792
298.6,99,1542.962198
313.6,99,1544.691563
285.2,91,1550.357533
299.6,94,1553.035765
284.6,94,1641.257956
299.2,96,1641.83632
328.4,100,1642.486093
283.6,99,1643.179969
286.2,86,1643.817048
313.6,99,1644.480808
298.4,100,1645.10701
299.0,97,1645.852676
328.6,99,1646.695935
313.6,99,1647.546289
