#{"t_start": 1765485402.73537, "env_id": "None"}
r,l,t
344.6,94,0.9424
329.6,94,1.430593
284.0,97,2.418706
301.4,85,3.029656
315.4,90,3.808546
314.0,97,4.475796
313.4,100,5.180476
285.2,91,5.755549
298.4,100,6.446392
283.8,98,7.040279
285.0,92,51.808311
299.6,94,52.314979
298.8,98,53.00036
283.6,99,53.784558
314.0,97,54.598028
313.6,99,55.575239
299.2,96,56.374882
315.4,90,57.088356
314.4,95,57.733338
313.6,99,58.260288
298.6,99,58.894116
299.6,94,191.706328
299.0,97,193.179941
313.6,99,201.111395
268.4,100,207.379374
283.6,99,208.777584
313.8,98,210.310812
299.6,94,211.838404
313.6,99,215.757183
314.8,93,220.70185
314.4,95,222.294201
298.4,100,226.138271
313.8,98,369.509491
299.4,95,370.427231
317.2,81,370.965497
298.4,100,371.672475
285.4,90,372.333008
313.4,100,372.929259
313.8,98,373.612734
298.4,100,374.442824
314.6,94,375.241323
314.6,94,375.885259
298.8,98,443.451445
313.8,98,444.304028
299.2,96,445.145985
285.6,89,445.94845
302.6,79,446.662022
268.6,99,447.5516
328.8,98,448.171563
268.8,98,448.722983
317.8,78,449.213576
313.4,100,449.871813
283.6,99,450.500307
283.8,98,611.171818
283.4,100,613.631385
301.8,83,615.601032
313.6,99,618.108211
285.6,89,620.257058
300.2,91,622.61788
269.4,95,625.191741
330.8,88,627.287571
299.2,96,629.673581
284.2,96,631.980792
329.0,97,634.479717
299.0,97,841.751063
300.6,89,844.421169
314.0,97,848.963474
300.2,91,850.590955
283.8,98,851.513848
329.2,96,852.155824
313.4,100,852.80412
303.2,76,853.340795
315.2,91,853.907385
286.6,84,854.916955
314.6,94,855.85801
314.0,97,924.957495
283.4,100,925.597886
330.4,90,926.142146
298.6,99,926.772233
315.2,91,927.304893
298.6,99,927.881991
269.8,93,928.454023
316.0,87,928.974407
299.8,93,929.52431
284.2,96,930.138813
298.4,100,930.74876
299.6,94,1013.974201
288.6,74,1015.800386
328.6,99,1018.316979
299.4,95,1020.876943
283.8,98,1023.128575
299.4,95,1025.448728
331.4,85,1027.568665
298.6,99,1029.976028
313.6,99,1032.388898
300.0,92,1034.637132
298.4,100,1037.148303
300.2,91,1231.816889
298.6,99,1234.229054
314.2,96,1236.612308
298.8,98,1239.669002
299.2,96,1242.047009
313.6,99,1244.457089
315.4,90,1246.61349
313.8,98,1249.048701
313.8,98,1253.718575
283.8,98,1256.558996
298.4,100,1259.181364
285.4,90,1339.899028
314.2,96,1340.49698
314.4,95,1341.056892
302.0,82,1341.546806
316.4,85,1342.076893
313.8,98,1342.646095
313.4,100,1343.228998
299.6,94,1343.821092
331.0,87,1344.339039
343.6,99,1345.028598
284.0,97,1345.686148
285.0,92,1522.582134
328.4,100,1529.220929
313.6,99,1533.155304
283.8,98,1534.581648
299.0,97,1535.987365
315.0,92,1538.371547
284.8,93,1542.089714
330.8,88,1543.759617
299.0,97,1547.53763
329.0,97,1551.391207
314.4,95,1640.856839
283.4,100,1641.591396
299.4,95,1642.145162
286.0,87,1642.771242
299.2,96,1643.441755
299.4,95,1644.128156
313.6,99,1644.784551
300.4,90,1645.3825
298.4,100,1646.181915
300.2,91,1646.962121
269.8,93,1647.737417
