#{"t_start": 1765485402.7271156, "env_id": "None"}
r,l,t
299.0,97,0.965527
298.4,100,1.511739
313.8,98,2.501266
328.4,100,3.291079
313.4,100,4.077
286.6,84,4.648886
300.6,89,5.263591
298.4,100,5.904325
316.2,86,6.501928
285.6,89,7.033314
329.2,96,51.824218
299.0,97,52.349229
314.8,93,52.996701
284.2,96,53.76093
284.4,95,54.565539
317.6,79,55.282535
285.0,92,56.085253
299.0,97,56.943259
268.4,100,57.627795
315.2,91,58.119424
330.6,89,58.651007
298.6,99,191.293975
313.6,99,192.689246
284.0,97,199.013944
331.8,83,206.306549
298.6,99,208.069903
313.4,100,209.593843
298.8,98,211.133179
298.8,98,213.564648
314.2,96,218.251171
343.4,100,221.808626
269.2,96,224.400288
299.2,96,369.188068
299.8,93,370.085818
299.8,93,370.774978
328.4,100,371.483028
328.8,98,372.163576
331.8,83,372.707509
328.6,99,373.368274
299.0,97,374.077585
298.6,99,374.948209
314.0,97,375.641542
301.0,87,376.358594
299.6,94,443.890491
299.2,96,444.72617
283.8,98,445.628908
283.4,100,446.506819
314.0,97,447.420469
299.0,97,448.015888
284.8,93,448.590706
298.6,99,449.180822
299.2,96,449.808252
313.6,99,450.45014
283.8,98,610.9591
329.0,97,613.336663
287.0,82,615.263175
313.8,98,617.669909
328.8,98,620.119225
300.0,92,622.497199
313.4,100,625.199995
299.2,96,627.487777
302.4,80,629.492403
331.2,86,631.560407
315.0,92,633.946144
283.4,100,841.334149
314.2,96,843.061792
329.2,96,848.299138
314.0,97,850.553372
298.4,100,851.476911
284.6,94,852.116886
268.6,99,852.757658
314.0,97,853.434309
313.8,98,854.032344
268.4,100,855.238414
299.8,93,856.270204
298.4,100,925.218749
284.0,97,925.800874
283.4,100,926.428449
268.6,99,927.014549
314.0,97,927.601016
299.2,96,928.167899
298.6,99,928.768066
315.4,90,929.322537
329.8,93,929.9032
283.8,98,930.500536
284.2,96,1012.986857
344.0,97,1015.388662
268.4,100,1017.936872
299.2,96,1020.265213
283.4,100,1022.829909
313.8,98,1025.234659
298.4,100,1027.677133
299.2,96,1030.043822
268.4,100,1032.485315
344.8,93,1034.728063
283.4,100,1037.264923
314.0,97,1232.089729
299.4,95,1234.376932
300.2,91,1236.64738
343.8,98,1239.705427
329.4,95,1242.051991
313.8,98,1244.439801
329.6,94,1246.699832
300.2,91,1248.936477
299.2,96,1253.234164
313.6,99,1256.41508
314.0,97,1258.986634
298.8,98,1339.907283
313.8,98,1340.512278
285.0,92,1341.057085
284.8,93,1341.619145
283.8,98,1342.233295
299.0,97,1342.78707
299.0,97,1343.371343
299.0,97,1343.954565
329.8,93,1344.522568
300.2,91,1345.167268
314.6,94,1521.279415
284.6,94,1523.500924
314.2,96,1530.151091
298.6,99,1533.415596
313.4,100,1534.854957
314.0,97,1536.242885
328.6,99,1541.112263
314.8,93,1542.496755
285.2,91,1544.179484
314.8,93,1549.715409
298.8,98,1551.997458
299.8,93,1641.015474
315.6,89,1641.676591
298.8,98,1642.235461
271.0,87,1642.883683
299.0,97,1643.569346
298.4,100,1644.26102
299.0,97,1644.87274
299.8,93,1645.56308
329.0,97,1646.337731
298.4,100,1647.194073
314.4,95,1647.929393
