#{"t_start": 1765485402.784321, "env_id": "None"}
r,l,t
314.4,95,0.898316
313.6,99,1.426432
298.8,98,2.426385
299.2,96,3.15089
315.6,89,3.871639
300.2,91,4.512104
299.2,96,5.174649
314.0,97,5.796218
313.6,99,6.493051
298.8,98,7.066348
300.2,91,51.842593
328.6,99,52.341166
299.6,94,53.018503
299.6,94,53.783153
284.8,93,54.572077
313.4,100,55.575676
298.4,100,56.443225
285.2,91,57.122322
313.6,99,57.763181
329.4,95,58.260645
299.2,96,58.887637
317.8,78,191.524316
315.2,91,192.841757
313.8,98,199.848029
299.0,97,206.959987
299.0,97,208.38974
299.4,95,209.911376
301.2,86,211.233346
284.0,97,214.258578
283.8,98,218.652083
299.0,97,221.846394
283.8,98,224.704387
314.4,95,369.197578
314.8,93,370.103285
316.4,85,370.718428
285.0,92,371.365883
298.6,99,372.042989
315.0,92,372.66415
298.6,99,373.324119
298.8,98,374.041982
285.2,91,374.840717
298.8,98,375.555092
288.2,76,376.168789
302.8,78,443.552304
298.8,98,444.412812
313.4,100,445.335046
271.6,84,446.059581
299.4,95,446.937553
298.8,98,447.708949
313.8,98,448.339356
315.6,89,448.825141
299.4,95,449.398772
298.6,99,450.091043
299.4,95,450.689679
313.4,100,612.050202
298.6,99,614.425587
313.6,99,616.785403
330.6,89,619.059954
269.2,96,621.352176
317.2,81,623.63441
329.0,97,626.14243
283.6,99,628.527566
283.8,98,630.915366
299.2,96,633.416051
314.0,97,636.599851
270.0,92,842.450994
299.4,95,845.586071
284.0,97,850.364689
346.0,87,851.047753
314.0,97,851.799755
269.6,94,852.41791
284.0,97,853.094692
298.6,99,853.724586
298.8,98,854.349497
301.0,87,855.620971
300.8,88,924.769728
313.4,100,925.402766
315.6,89,925.931399
301.0,87,926.493581
313.4,100,927.074188
314.2,96,927.655866
298.4,100,928.255386
345.4,90,928.78421
298.4,100,929.386467
314.0,97,929.997024
286.0,87,930.54829
283.8,98,1013.360691
315.4,90,1015.582083
270.6,89,1017.862429
284.2,96,1020.180004
300.8,88,1022.460114
315.4,90,1024.667517
329.8,93,1026.920827
283.4,100,1029.375222
298.8,98,1031.793441
313.4,100,1034.201398
301.2,86,1036.293444
299.6,94,1231.137977
314.6,94,1233.428208
283.8,98,1235.893689
299.4,95,1238.691572
316.2,86,1240.937829
298.8,98,1243.372337
298.8,98,1245.735373
329.8,93,1247.992306
300.6,89,1250.248062
315.0,92,1254.999534
283.4,100,1257.637461
298.6,99,1339.560477
299.6,94,1340.142009
314.4,95,1340.752009
318.0,77,1341.173668
330.0,92,1341.75787
298.4,100,1342.352535
283.8,98,1342.929834
300.2,91,1343.449818
283.8,98,1344.047822
329.6,94,1344.715145
298.4,100,1345.374973
285.0,92,1521.75641
313.6,99,1526.89989
272.0,82,1531.657832
314.2,96,1533.696434
314.0,97,1535.084697
283.4,100,1536.546993
285.6,89,1541.231398
315.2,91,1542.635677
285.4,90,1544.292373
300.0,92,1550.004589
314.2,96,1552.365728
298.4,100,1641.100043
299.2,96,1641.741795
330.2,91,1642.286312
313.6,99,1643.001203
283.4,100,1643.736745
314.2,96,1644.374259
298.4,100,1645.012143
298.6,99,1645.76478
314.6,94,1646.549659
314.4,95,1647.373725
