#{"t_start": 1765485402.73537, "env_id": "None"}
r,l,t
298.8,98,0.963997
298.4,100,1.517915
283.6,99,2.515396
344.4,95,3.248704
283.6,99,4.034066
329.6,94,4.692589
328.8,98,5.362311
299.8,93,5.951835
328.4,100,6.640996
299.2,96,7.197079
284.0,97,51.99025
299.6,94,52.465094
284.0,97,53.185494
315.6,89,53.937577
315.4,90,54.695829
299.0,97,55.68172
284.4,95,56.517524
313.6,99,57.224088
283.4,100,57.872158
298.4,100,58.410011
314.0,97,59.04927
284.6,94,192.043509
314.8,93,194.286408
328.4,100,202.710313
283.4,100,207.637097
300.4,90,208.958167
314.0,97,210.451435
314.2,96,212.19793
283.4,100,216.09374
329.8,93,221.168519
314.4,95,222.49173
314.2,96,368.86287
285.2,91,369.530681
284.6,94,370.435778
314.0,97,371.086493
283.4,100,371.792811
284.2,96,372.495462
314.0,97,373.076347
328.4,100,373.755292
284.4,95,374.5571
299.0,97,375.362748
329.6,94,376.040834
298.6,99,443.627868
329.0,97,444.478845
302.0,82,445.198993
283.8,98,446.08952
314.2,96,446.978504
298.6,99,447.7559
300.2,91,448.340307
315.0,92,448.850691
314.0,97,449.43472
329.4,95,450.103905
345.0,92,450.680107
284.2,96,611.731824
283.6,99,614.171263
315.8,88,616.253426
329.2,96,618.708025
314.6,94,620.975519
314.4,95,623.555841
299.2,96,626.041447
286.6,84,628.099401
314.6,94,630.373174
314.8,93,632.66649
268.4,100,635.194857
299.0,97,842.23994
329.0,97,845.122629
285.2,91,850.001953
299.0,97,850.912246
298.6,99,851.769936
298.6,99,852.424545
318.0,77,852.925453
314.4,95,853.576766
284.2,96,854.170609
283.6,99,855.382749
329.6,94,856.583556
299.6,94,925.318591
298.8,98,925.898566
298.6,99,926.539989
299.0,97,927.10753
298.4,100,927.710834
302.0,82,928.18738
283.4,100,928.787924
314.2,96,929.359814
298.8,98,929.974496
283.4,100,930.608661
286.8,83,1013.096982
299.4,95,1015.448871
313.8,98,1017.958093
298.8,98,1020.326289
330.2,91,1022.67126
298.4,100,1025.132607
329.4,95,1027.473688
313.8,98,1029.866125
268.8,98,1032.252868
300.0,92,1034.491407
299.2,96,1036.903019
298.8,98,1231.728889
284.6,94,1234.046044
283.8,98,1236.456984
328.4,100,1239.568576
313.4,100,1242.046366
299.2,96,1244.383258
298.6,99,1246.762495
287.8,78,1248.678991
313.6,99,1252.845711
313.4,100,1256.196126
328.4,100,1258.921001
284.4,95,1339.872454
284.6,94,1340.453079
283.8,98,1341.021733
285.0,92,1341.582992
300.4,90,1342.142435
285.2,91,1342.667641
268.8,98,1343.236914
300.4,90,1343.807132
315.2,91,1344.345086
269.2,96,1345.0134
315.0,92,1345.638825
284.4,95,1522.419132
300.2,91,1528.414085
300.6,89,1532.695014
313.6,99,1534.270004
299.6,94,1535.622378
299.0,97,1537.143076
298.6,99,1541.864944
285.4,90,1543.524826
298.4,100,1546.673901
314.2,96,1551.208621
299.8,93,1640.747703
299.2,96,1641.502212
283.8,98,1642.078042
298.8,98,1642.748844
269.4,95,1643.419628
299.4,95,1644.115456
313.8,98,1644.766016
313.8,98,1645.415026
314.0,97,1646.190968
285.4,90,1646.962121
313.6,99,1647.765153
