#{"t_start": 1765485402.743859, "env_id": "None"}
r,l,t
300.8,88,0.89734
298.6,99,1.422104
314.0,97,2.400402
299.0,97,3.103686
284.0,97,3.920426
299.4,95,4.585593
300.8,88,5.189465
313.8,98,5.821247
313.6,99,6.51836
328.8,98,7.093507
313.8,98,51.918466
314.2,96,52.395417
298.8,98,53.103035
299.8,93,53.861722
313.6,99,54.696012
313.6,99,55.696241
302.0,82,56.368414
313.6,99,57.160729
301.2,86,57.724849
315.6,89,58.204731
328.4,100,58.822797
298.6,99,191.643183
285.6,89,192.942582
284.0,97,199.975511
314.2,96,207.033297
328.6,99,208.494868
313.8,98,210.056389
298.4,100,211.615658
300.8,88,214.682758
285.0,92,218.87674
299.6,94,221.926392
300.0,92,224.642757
298.4,100,369.255382
298.4,100,370.194971
314.2,96,370.888299
298.6,99,371.60668
313.6,99,372.293176
300.0,92,372.848353
284.8,93,373.507329
299.4,95,374.253188
284.4,95,375.096226
299.6,94,375.732961
284.6,94,376.520773
298.8,98,444.090885
299.0,97,444.932778
298.8,98,445.827278
330.0,92,446.644522
299.0,97,447.524965
301.0,87,448.059292
299.6,94,448.627477
283.4,100,449.223608
329.8,93,449.840324
315.0,92,450.433397
284.4,95,610.863127
298.8,98,613.256734
283.4,100,615.644684
283.6,99,618.148025
329.0,97,620.520796
298.4,100,623.181494
298.4,100,625.772149
313.6,99,628.202632
268.8,98,630.571243
285.4,90,632.786666
329.8,93,635.151634
299.0,97,842.205989
298.8,98,845.095325
314.4,95,850.073334
313.4,100,850.989536
270.6,89,851.732573
300.8,88,852.320341
331.2,86,852.874334
298.8,98,853.556587
299.4,95,854.136886
299.0,97,855.311602
314.8,93,856.490882
299.4,95,925.270803
314.8,93,925.828973
299.2,96,926.424586
328.8,98,927.005608
283.8,98,927.605847
299.0,97,928.180895
300.0,92,928.732604
298.8,98,929.320327
270.4,90,929.896222
299.2,96,930.483793
299.0,97,1012.99544
285.6,89,1015.200645
313.4,100,1017.720171
314.8,93,1019.994071
300.4,90,1022.392761
298.6,99,1024.765939
313.8,98,1027.131466
298.4,100,1029.602919
299.2,96,1031.956094
299.0,97,1034.306905
329.6,94,1036.576868
287.6,79,1231.064046
298.4,100,1233.488483
313.4,100,1235.997524
299.0,97,1238.988265
284.4,95,1241.320227
300.0,92,1243.602275
329.2,96,1245.928194
283.4,100,1248.328554
268.6,99,1252.525565
314.6,94,1255.655093
315.8,88,1257.993139
300.6,89,1339.618215
289.2,71,1340.060347
300.8,88,1340.618623
285.0,92,1341.148615
284.0,97,1341.74855
298.6,99,1342.359181
299.2,96,1342.90029
314.6,94,1343.440256
315.2,91,1344.018176
313.8,98,1344.66009
284.8,93,1345.29376
298.8,98,1521.629043
301.4,85,1525.497703
315.6,89,1530.613464
298.8,98,1533.531931
329.6,94,1534.853198
328.8,98,1536.258943
314.2,96,1541.080484
315.4,90,1542.422962
298.4,100,1544.258679
299.0,97,1550.045051
284.0,97,1552.498721
299.4,95,1641.067715
298.8,98,1641.767313
329.0,97,1642.359209
298.6,99,1643.070811
283.8,98,1643.792274
313.6,99,1644.453399
315.2,91,1645.026506
284.6,94,1645.727109
313.4,100,1646.556859
328.6,99,1647.422247
