#{"t_start": 1765485402.7523077, "env_id": "None"}
r,l,t
298.4,100,0.95827
313.8,98,1.500977
298.4,100,2.504322
284.0,97,3.268502
329.8,93,3.982158
269.8,93,4.64184
298.4,100,5.328431
313.8,98,5.958526
285.6,89,6.580842
329.8,93,7.113495
298.6,99,51.936116
298.6,99,52.427504
315.0,92,53.115845
315.6,89,53.847586
299.8,93,54.633264
314.0,97,55.618105
300.4,90,56.324417
328.4,100,57.154336
302.4,80,57.677036
298.6,99,58.208411
313.6,99,58.832939
298.4,100,191.691386
328.6,99,193.339568
284.2,96,201.077627
298.4,100,207.34619
313.4,100,208.763252
314.8,93,210.222243
283.6,99,211.857877
298.6,99,215.743037
313.6,99,221.053873
299.2,96,222.387161
283.8,98,368.809024
313.6,99,369.541813
302.8,78,370.330758
298.4,100,371.00751
329.0,97,371.688419
315.0,92,372.377639
283.8,98,372.944052
314.6,94,373.595796
313.8,98,374.413688
313.8,98,375.241229
314.0,97,375.913105
314.0,97,443.479514
269.6,94,444.297319
283.8,98,445.157047
314.2,96,446.021099
313.4,100,446.956566
299.0,97,447.712452
315.2,91,448.304372
270.6,89,448.792244
345.2,91,449.326219
299.0,97,450.033693
283.8,98,450.633169
303.2,76,611.15488
328.4,100,613.614447
299.0,97,615.907311
313.6,99,618.423992
313.6,99,620.833228
329.2,96,623.408875
300.8,88,625.699759
314.2,96,628.065342
298.4,100,630.483618
283.6,99,632.919413
314.0,97,635.433647
269.0,97,842.331544
299.2,96,845.236312
299.0,97,850.316656
283.6,99,851.083388
268.6,99,851.855126
328.8,98,852.497088
283.4,100,853.189624
314.0,97,853.798651
328.6,99,854.902902
298.4,100,855.919416
284.8,93,924.962444
298.6,99,925.588711
284.2,96,926.1608
314.2,96,926.784736
299.0,97,927.347251
328.6,99,927.91866
298.6,99,928.531894
328.6,99,929.110833
313.4,100,929.710646
315.6,89,930.312447
269.0,97,930.881269
300.0,92,1014.539951
299.0,97,1016.99688
313.6,99,1019.40593
328.4,100,1022.180177
314.6,94,1024.282852
299.8,93,1026.523604
299.4,95,1028.851982
300.6,89,1030.999882
329.4,95,1033.390703
298.4,100,1035.789768
298.4,100,1230.785306
314.4,95,1233.101573
315.4,90,1235.321616
284.0,97,1237.671845
314.4,95,1240.684316
284.0,97,1243.110196
283.8,98,1245.459343
298.4,100,1247.869797
313.4,100,1250.623834
298.4,100,1255.360375
298.4,100,1257.985707
283.4,100,1339.685511
298.8,98,1340.287862
301.2,86,1340.825157
314.4,95,1341.379962
329.6,94,1341.961393
313.4,100,1342.541747
301.0,87,1343.046195
315.0,92,1343.606048
328.6,99,1344.20768
315.4,90,1344.839935
299.4,95,1345.476258
300.2,91,1521.952571
269.2,96,1527.529299
283.8,98,1532.307089
283.4,100,1534.093227
315.2,91,1535.403833
283.4,100,1536.937419
283.6,99,1541.688642
313.6,99,1543.469089
314.6,94,1546.10986
269.2,96,1550.988181
331.6,84,1553.518662
315.6,89,1641.347014
314.2,96,1641.894843
317.6,79,1642.416072
283.6,99,1643.124292
314.6,94,1643.807313
343.6,99,1644.482163
298.6,99,1645.099968
315.4,90,1645.787115
313.8,98,1646.615394
269.8,93,1647.415858
345.4,90,1648.050791
