#{"t_start": 1765485402.780288, "env_id": "None"}
r,l,t
268.8,98,0.919079
299.2,96,1.429209
299.0,97,2.418991
298.6,99,3.179694
284.6,94,3.918883
299.0,97,4.613859
315.4,90,5.225445
313.8,98,5.858226
299.2,96,6.530414
314.6,94,7.070381
315.8,88,51.837846
313.8,98,52.328595
268.8,98,53.031949
315.4,90,53.765749
329.8,93,54.554753
329.6,94,55.466697
330.0,92,56.208645
315.2,91,56.980728
315.8,88,57.593147
283.6,99,58.136883
283.6,99,58.743812
313.8,98,191.514635
315.0,92,192.84579
284.4,95,199.656177
313.4,100,206.96402
300.2,91,208.303495
329.2,96,209.821225
283.8,98,211.349025
298.4,100,214.611782
284.2,96,218.918729
283.4,100,222.002913
302.2,81,224.479263
313.6,99,369.184958
300.0,92,370.090046
285.4,90,370.733914
299.0,97,371.421819
298.4,100,372.116422
313.8,98,372.752854
314.4,95,373.398161
314.4,95,374.119893
286.4,85,374.860116
300.0,92,375.520833
330.6,89,376.251071
333.2,76,443.612295
298.8,98,444.468486
298.8,98,445.373611
298.6,99,446.236863
298.6,99,447.127371
313.6,99,447.827627
269.0,97,448.457014
298.6,99,449.033612
299.6,94,449.636411
298.8,98,450.293002
270.0,92,450.831887
284.0,97,612.660764
314.4,95,614.939104
314.0,97,617.297652
316.4,85,619.418284
313.4,100,621.804217
328.4,100,624.656457
269.6,94,626.983434
285.4,90,629.199109
330.6,89,631.332237
298.8,98,633.86159
313.6,99,841.236911
299.8,93,842.827298
283.6,99,848.193756
268.4,100,850.514264
328.8,98,851.417724
283.6,99,852.088364
299.4,95,852.704486
300.0,92,853.343108
298.4,100,853.960855
313.6,99,855.163699
328.8,98,856.232961
328.6,99,925.165576
343.4,100,925.763471
298.4,100,926.390583
284.2,96,926.961376
329.6,94,927.536116
299.0,97,928.102634
314.4,95,928.684785
302.2,81,929.174318
330.0,92,929.707245
284.6,94,930.338155
314.0,97,930.908045
299.4,95,1014.826333
298.6,99,1017.327113
329.0,97,1019.682214
344.2,96,1022.282161
330.4,90,1024.371943
313.8,98,1026.733793
298.4,100,1029.201843
298.8,98,1031.629324
343.4,100,1034.033654
316.8,83,1036.050968
313.6,99,1231.02963
300.2,91,1233.242128
314.2,96,1235.651427
314.4,95,1238.383863
298.4,100,1241.032018
314.2,96,1243.433916
298.6,99,1245.818133
315.4,90,1247.992178
298.4,100,1251.21217
301.4,85,1255.103951
298.4,100,1257.753637
298.4,100,1339.596006
300.2,91,1340.16193
314.8,93,1340.754037
298.6,99,1341.322224
299.8,93,1341.890594
346.6,84,1342.383648
298.4,100,1342.978002
268.8,98,1343.556595
313.8,98,1344.150225
313.4,100,1344.857609
313.4,100,1345.527859
314.8,93,1522.133633
328.4,100,1528.155717
314.4,95,1532.699399
299.2,96,1534.208228
315.6,89,1535.481079
298.4,100,1537.045328
286.0,87,1541.595683
298.4,100,1543.372039
299.8,93,1545.87576
330.4,90,1550.696476
299.6,94,1553.490682
298.8,98,1641.361496
314.4,95,1641.905292
344.8,93,1642.558378
284.6,94,1643.228666
314.0,97,1643.913908
284.0,97,1644.585234
313.8,98,1645.20714
329.2,96,1645.924337
313.8,98,1646.788734
313.8,98,1647.621243
