#{"t_start": 1765485339.770867, "env_id": "None"}
r,l,t
314.6,94,4.149573
284.6,94,4.805049
299.2,96,5.519533
329.4,95,6.141989
330.4,90,6.86896
299.8,93,7.483855
299.4,95,8.058013
298.6,99,8.714735
331.6,84,9.277696
269.6,94,9.881758
