#{"t_start": 1765429416.0413148, "env_id": "None"}
r,l,t
283.8,98,0.718654
299.4,95,1.200147
299.4,95,1.720079
298.4,100,2.38824
314.0,97,2.980668
298.6,99,3.45869
314.4,95,3.994117
314.4,95,4.430965
299.2,96,4.875869
313.4,100,5.299227
346.8,83,43.679199
313.8,98,44.204681
315.0,92,44.653494
328.6,99,45.126667
298.6,99,45.626887
284.8,93,46.088397
313.6,99,46.568931
284.0,97,47.049967
317.2,81,47.344985
301.6,84,47.651703
313.4,100,48.045017
315.2,91,89.965131
313.8,98,90.455714
268.4,100,90.956412
313.4,100,91.465091
298.4,100,91.850237
298.8,98,92.240858
284.0,97,92.658827
284.2,96,93.050055
301.6,84,93.356943
314.4,95,93.737896
314.0,97,94.103809
298.6,99,138.2586
283.6,99,138.738474
298.4,100,139.247344
316.6,84,139.664046
298.4,100,140.18675
268.4,100,140.681027
298.8,98,141.178106
284.0,97,141.659475
286.2,86,142.14807
313.6,99,142.580308
313.8,98,187.118071
283.4,100,187.626293
298.4,100,188.21854
268.4,100,188.960406
329.8,93,189.639371
344.6,94,190.236973
298.6,99,190.710931
298.6,99,191.193023
313.4,100,191.710281
300.6,89,192.144278
298.6,99,192.682883
285.0,92,236.119677
301.8,83,236.528351
298.8,98,237.031808
313.6,99,237.53501
298.8,98,238.024572
300.2,91,238.471519
268.4,100,239.021055
343.6,99,239.4325
313.6,99,239.834643
315.6,89,240.213156
284.8,93,240.595903
314.0,97,284.048255
286.2,86,284.521559
313.8,98,284.995621
298.6,99,285.540326
314.6,94,286.05843
314.2,96,286.604764
314.4,95,287.017377
287.6,79,287.309521
300.0,92,287.727544
302.4,80,288.02324
315.0,92,288.391183
284.4,95,328.396364
268.8,98,328.899097
330.2,91,329.387118
298.6,99,329.925066
300.8,88,330.47221
330.0,92,330.989641
285.8,88,331.478612
299.0,97,332.025839
328.4,100,332.564915
299.2,96,333.046156
283.6,99,333.511327
314.4,95,371.74069
298.6,99,372.274098
300.0,92,372.78807
285.0,92,373.292111
283.4,100,373.838255
284.4,95,374.289382
284.4,95,374.829827
283.6,99,375.265019
314.0,97,375.661017
314.2,96,376.093027
315.2,91,414.18043
298.4,100,414.741985
298.4,100,415.233776
299.2,96,415.746964
345.0,92,416.193643
299.6,94,416.670395
299.0,97,417.214267
314.0,97,417.723941
299.0,97,418.178287
284.0,97,418.660215
299.6,94,419.08252
316.2,86,459.562659
299.0,97,460.057251
302.4,80,460.502078
298.6,99,461.031868
314.0,97,461.559118
314.2,96,462.012656
284.4,95,462.446381
314.0,97,462.825109
332.6,79,463.195659
298.4,100,463.707916
313.6,99,464.229264
298.8,98,504.114417
314.4,95,504.583729
283.8,98,505.103041
298.6,99,505.622902
299.4,95,506.048489
317.2,81,506.462003
299.6,94,507.021019
314.6,94,507.447562
314.2,96,507.878686
298.6,99,508.350717
298.8,98,508.87365
314.2,96,548.601241
284.0,97,549.363655
284.4,95,549.962017
299.2,96,550.480904
329.6,94,550.962592
300.4,90,551.37643
284.0,97,551.830154
299.6,94,552.219406
284.4,95,552.666245
313.8,98,553.143399
329.0,97,553.585948
