#{"t_start": 1765429416.0499048, "env_id": "None"}
r,l,t
329.8,93,0.692168
283.6,99,1.18693
285.4,90,1.666414
299.2,96,2.321404
313.4,100,2.936392
283.8,98,3.361077
313.6,99,3.971166
285.4,90,4.375251
329.2,96,4.814861
298.4,100,5.245107
313.6,99,43.716107
284.2,96,44.218689
314.4,95,44.674873
328.6,99,45.15154
298.6,99,45.662458
283.4,100,46.157366
314.8,93,46.61084
298.6,99,47.073811
284.8,93,47.425651
284.2,96,47.774445
305.8,63,48.026094
285.4,90,89.94398
317.6,79,90.34084
313.4,100,90.829445
328.4,100,91.359662
315.2,91,91.70068
299.0,97,92.10937
300.6,89,92.461306
283.6,99,92.876051
300.0,92,93.259526
298.6,99,93.643716
329.2,96,93.984509
299.2,96,138.109457
268.4,100,138.588474
301.8,83,139.018645
299.6,94,139.473179
313.6,99,140.000122
285.6,89,140.433567
284.4,95,140.916817
345.6,89,141.365969
314.2,96,141.889101
314.4,95,142.348114
298.8,98,142.745944
298.6,99,187.36146
315.0,92,187.854107
316.0,87,188.371358
298.8,98,189.15805
299.6,94,189.797647
330.2,91,190.33521
283.4,100,190.81466
298.4,100,191.308695
348.2,76,191.703558
298.6,99,192.177681
314.6,94,192.68793
299.6,94,236.14095
300.0,92,236.604585
314.0,97,237.096948
315.4,90,237.559899
344.4,95,238.033656
313.8,98,238.508074
300.0,92,239.027989
329.0,97,239.42391
317.8,78,239.730292
298.6,99,240.157984
285.6,89,240.538454
330.4,90,283.91549
269.0,97,284.457191
298.8,98,284.937043
315.0,92,285.425756
299.0,97,285.966832
286.4,85,286.43801
298.8,98,286.922454
283.4,100,287.290514
284.2,96,287.725641
316.4,85,288.041451
300.2,91,288.41386
300.6,89,328.389781
284.6,94,328.86921
314.8,93,329.36852
299.0,97,329.887812
300.0,92,330.46362
284.0,97,331.007757
284.2,96,331.551057
329.8,93,332.085193
343.8,98,332.592185
283.8,98,333.070736
283.6,99,333.552798
298.8,98,371.800138
330.0,92,372.292132
298.4,100,372.845267
300.8,88,373.338393
313.8,98,373.865899
299.0,97,374.312744
313.8,98,374.889032
330.8,88,375.256429
285.2,91,375.633523
313.6,99,376.084437
313.4,100,414.21091
299.6,94,414.739422
328.4,100,415.232225
330.2,91,415.715766
331.0,87,416.133151
298.6,99,416.648386
302.2,81,417.105157
298.4,100,417.628433
284.0,97,418.083994
283.4,100,418.580869
300.4,90,418.980677
283.8,98,459.520809
313.4,100,460.032098
286.2,86,460.508019
299.6,94,461.011883
314.4,95,461.530732
313.6,99,461.998579
299.4,95,462.433775
314.2,96,462.806859
313.6,99,463.275756
301.0,87,463.736612
300.4,90,464.207968
298.6,99,504.088815
300.6,89,504.526073
298.4,100,505.058794
299.0,97,505.561879
313.8,98,506.014578
301.0,87,506.453413
315.2,91,506.987592
299.2,96,507.434957
298.4,100,507.885606
329.6,94,508.33398
298.8,98,508.855836
287.8,78,548.394614
298.8,98,549.220057
313.4,100,549.878598
284.2,96,550.39813
298.4,100,550.929773
298.6,99,551.371843
269.2,96,551.821564
313.6,99,552.2235
314.0,97,552.690085
313.4,100,553.18379
