#{"t_start": 1765429416.0911186, "env_id": "None"}
r,l,t
298.6,99,0.675925
315.0,92,1.141702
299.6,94,1.646312
328.8,98,2.302623
329.2,96,2.900171
299.6,94,3.306137
283.4,100,3.914203
283.6,99,4.356595
300.4,90,4.781641
298.4,100,5.211131
333.0,77,43.542751
313.6,99,44.088268
316.8,83,44.489357
298.6,99,44.974022
284.4,95,45.440489
328.8,98,45.930583
298.8,98,46.415035
299.0,97,46.919028
300.8,88,47.251486
298.6,99,47.603904
298.8,98,47.986888
314.0,97,89.938015
283.6,99,90.436235
344.4,95,90.906608
314.2,96,91.403234
284.0,97,91.770993
298.6,99,92.167144
299.6,94,92.550034
299.8,93,92.942646
268.4,100,93.323277
285.6,89,93.67647
284.0,97,94.047979
313.8,98,138.189408
313.6,99,138.669664
284.6,94,139.151426
302.4,80,139.538424
298.4,100,140.077235
314.2,96,140.539932
298.4,100,141.054995
317.2,81,141.454362
298.6,99,142.002466
328.4,100,142.463894
313.8,98,142.846195
283.4,100,187.485936
316.8,83,187.973021
299.8,93,188.548443
298.4,100,189.360656
283.8,98,190.015939
299.4,95,190.504459
283.6,99,190.970047
284.4,95,191.459916
284.2,96,191.938447
283.6,99,192.483491
345.6,89,235.919805
301.0,87,236.325815
313.6,99,236.823463
313.6,99,237.332382
314.8,93,237.796858
298.4,100,238.291802
314.4,95,238.7651
329.0,97,239.246579
284.0,97,239.6242
284.0,97,240.056607
329.4,95,240.445893
314.4,95,283.846806
314.6,94,284.370681
329.2,96,284.840491
285.4,90,285.316717
299.2,96,285.849386
298.8,98,286.396796
314.6,94,286.86261
298.6,99,287.220718
269.2,96,287.66971
313.4,100,288.020722
283.4,100,288.47018
328.6,99,328.489994
283.8,98,329.025658
283.6,99,329.536738
285.6,89,330.05894
298.8,98,330.640162
298.4,100,331.192536
313.6,99,331.739761
313.6,99,332.300254
299.6,94,332.778262
313.4,100,333.258368
314.6,94,371.455736
300.0,92,371.953714
284.0,97,372.475666
318.0,77,372.901737
313.6,99,373.454241
284.0,97,373.973531
329.8,93,374.403768
315.6,89,374.916111
284.8,93,375.304253
298.8,98,375.72746
302.2,81,376.079391
299.2,96,414.198462
283.6,99,414.751329
303.8,73,415.094688
314.0,97,415.607261
313.4,100,416.104549
329.8,93,416.594595
313.6,99,417.131986
299.8,93,417.623149
313.8,98,418.083618
299.8,93,418.543783
283.8,98,418.987105
285.0,92,459.494181
283.6,99,460.001422
344.4,95,460.528669
314.0,97,461.050579
328.8,98,461.57062
298.4,100,462.049936
313.4,100,462.458427
300.4,90,462.834088
284.0,97,463.301232
283.8,98,463.840972
299.4,95,464.327044
284.0,97,504.176836
299.0,97,504.674818
283.6,99,505.212557
300.6,89,505.680892
283.6,99,506.092367
283.6,99,506.651871
301.4,85,507.119924
286.0,87,507.489277
283.4,100,507.975301
286.8,83,508.370159
298.8,98,508.892007
314.8,93,548.641763
328.8,98,549.394502
298.6,99,550.000358
313.4,100,550.540748
298.6,99,551.025488
302.8,78,551.403694
299.4,95,551.815042
299.0,97,552.214389
298.4,100,552.710489
314.6,94,553.166794
