#{"t_start": 1765429416.079923, "env_id": "None"}
r,l,t
298.8,98,0.681043
299.0,97,1.171993
299.0,97,1.706213
299.4,95,2.343585
299.2,96,2.931641
300.8,88,3.307786
283.8,98,3.909601
283.8,98,4.355301
298.8,98,4.809692
314.2,96,5.218312
313.4,100,43.694654
284.0,97,44.201265
298.4,100,44.686686
283.4,100,45.161305
270.0,92,45.636454
283.8,98,46.12534
283.8,98,46.60165
314.0,97,47.05227
313.6,99,47.423659
269.0,97,47.790267
315.8,88,48.144916
329.2,96,90.112582
314.4,95,90.581374
298.4,100,91.062858
298.4,100,91.547543
298.8,98,91.960354
284.6,94,92.312041
313.6,99,92.727219
313.8,98,93.134281
300.4,90,93.49514
298.4,100,93.861941
314.4,95,137.961569
299.6,94,138.398312
299.6,94,138.868353
286.0,87,139.293851
298.4,100,139.812235
283.6,99,140.308634
343.6,99,140.802336
313.6,99,141.302769
299.8,93,141.801415
314.2,96,142.277148
283.4,100,142.691393
314.2,96,187.283317
299.0,97,187.796925
314.8,93,188.357933
314.6,94,189.112538
313.8,98,189.783516
301.0,87,190.294621
316.4,85,190.703324
314.8,93,191.156421
269.2,96,191.656011
268.6,99,192.126914
284.8,93,192.644275
269.0,97,236.101394
299.8,93,236.565591
298.4,100,237.077808
283.6,99,237.586205
299.4,95,238.058013
285.2,91,238.502549
313.4,100,239.052742
283.6,99,239.438896
283.6,99,239.861601
298.4,100,240.27525
299.2,96,283.574787
343.4,100,284.165199
314.2,96,284.695351
313.8,98,285.176544
315.0,92,285.68838
314.8,93,286.184939
269.2,96,286.71785
329.0,97,287.09996
314.8,93,287.528152
255.2,91,287.861821
314.2,96,288.268821
329.6,94,328.226345
313.6,99,328.718891
302.2,81,329.153629
314.2,96,329.67235
284.2,96,330.235495
284.4,95,330.774563
313.4,100,331.338042
298.6,99,331.888453
313.6,99,332.436529
314.4,95,332.914288
298.6,99,333.390573
313.4,100,371.632253
286.2,86,372.099904
313.4,100,372.646355
329.2,96,373.166327
314.4,95,373.698224
328.6,99,374.204864
302.6,79,374.626968
283.8,98,375.125674
283.6,99,375.522559
313.6,99,375.9577
298.8,98,376.376249
314.4,95,414.546967
300.0,92,415.024738
298.6,99,415.525242
298.6,99,416.026114
299.8,93,416.533615
313.8,98,417.059135
313.8,98,417.570004
283.4,100,418.044929
313.4,100,418.540419
314.4,95,418.96717
329.2,96,459.497351
298.6,99,460.00208
314.8,93,460.51648
328.8,98,461.043135
298.4,100,461.5778
283.8,98,462.04359
301.4,85,462.421079
300.4,90,462.770976
313.8,98,463.23316
299.0,97,463.752434
329.8,93,464.22669
300.0,92,504.081827
328.8,98,504.565773
300.8,88,505.035766
300.2,91,505.505248
313.4,100,505.966916
283.4,100,506.47974
313.8,98,507.063596
298.8,98,507.463842
298.6,99,507.945415
299.6,94,508.397753
286.0,87,508.861759
283.4,100,548.642088
313.8,98,549.398409
313.8,98,549.996471
313.6,99,550.532199
286.4,85,550.943909
283.8,98,551.436533
329.0,97,551.858055
299.8,93,552.232504
331.2,86,552.653206
328.8,98,553.132214
