#{"t_start": 1765429416.0964382, "env_id": "None"}
r,l,t
314.2,96,0.645635
269.8,93,1.13036
299.0,97,1.648742
313.6,99,2.313339
269.2,96,2.904849
314.0,97,3.342363
298.8,98,3.929737
284.8,93,4.350571
283.4,100,4.814561
299.6,94,5.211828
283.4,100,43.695075
314.0,97,44.198044
313.6,99,44.672179
284.2,96,45.128732
284.0,97,45.630857
313.6,99,46.116858
314.8,93,46.575097
314.2,96,47.027278
328.6,99,47.405135
298.4,100,47.775759
269.2,96,48.1699
284.0,97,90.142747
298.4,100,90.639316
299.4,95,91.090153
283.4,100,91.557671
299.2,96,91.974173
298.6,99,92.353186
328.4,100,92.760825
298.8,98,93.175751
300.0,92,93.547288
298.6,99,93.897214
284.8,93,137.987454
313.6,99,138.458004
299.0,97,138.955499
301.0,87,139.373051
269.8,93,139.86239
315.6,89,140.305864
313.8,98,140.796415
313.8,98,141.290285
299.2,96,141.813089
299.6,94,142.275918
284.4,95,142.669735
299.8,93,187.233108
313.4,100,187.762499
315.6,89,188.291511
298.8,98,189.072607
269.2,96,189.734176
313.8,98,190.309714
313.6,99,190.78478
298.8,98,191.26818
300.0,92,191.744765
285.2,91,192.176252
328.6,99,192.684465
284.0,97,236.17893
284.8,93,236.647814
329.0,97,237.141453
328.4,100,237.653623
253.6,99,238.148848
299.8,93,238.60512
283.8,98,239.120442
313.8,98,239.495863
301.0,87,239.867567
328.6,99,240.281148
298.8,98,283.604176
299.0,97,284.179889
298.8,98,284.701351
298.6,99,285.210525
299.6,94,285.733629
313.4,100,286.27293
313.6,99,286.803197
343.4,100,287.157718
299.0,97,287.623466
299.8,93,287.958553
343.4,100,288.367327
284.2,96,328.362161
299.8,93,328.856006
298.6,99,329.385871
329.0,97,329.934704
298.8,98,330.567825
284.6,94,331.048068
285.0,92,331.56731
298.4,100,332.138368
287.8,78,332.534464
298.6,99,333.022341
315.0,92,333.456204
284.8,93,371.680542
298.4,100,372.22098
317.6,79,372.657134
284.4,95,373.170394
329.6,94,373.698288
315.6,89,374.165725
299.6,94,374.664549
284.0,97,375.136881
298.6,99,375.529543
299.0,97,375.963328
283.6,99,376.385392
284.2,96,414.578113
298.8,98,415.073897
299.0,97,415.571434
270.4,90,416.023997
313.8,98,416.549384
283.6,99,417.082961
253.6,99,417.603968
283.8,98,418.063334
283.6,99,418.556479
299.0,97,418.993351
329.4,95,459.518297
284.0,97,460.012904
284.4,95,460.538042
269.4,95,461.051283
314.4,95,461.554723
285.2,91,461.986639
284.2,96,462.412879
298.6,99,462.80618
328.8,98,463.268831
299.6,94,463.785806
284.2,96,464.277076
314.4,95,504.11709
314.2,96,504.608902
314.0,97,505.141459
314.4,95,505.632241
299.4,95,506.028322
298.8,98,506.573102
298.4,100,507.129526
313.8,98,507.545808
299.4,95,508.015962
314.2,96,508.47443
283.6,99,548.065782
299.2,96,548.864429
313.8,98,549.575889
298.8,98,550.124901
313.4,100,550.669397
299.8,93,551.121912
287.0,82,551.543682
299.4,95,551.940585
299.0,97,552.327575
299.8,93,552.777399
313.6,99,553.267485
