#{"t_start": 1765429416.1004717, "env_id": "None"}
r,l,t
343.4,100,0.672027
313.4,100,1.179827
286.0,87,1.653193
298.8,98,2.309647
268.4,100,2.921511
313.6,99,3.401058
344.6,94,3.929718
298.4,100,4.396518
331.2,86,4.785127
268.8,98,5.203783
313.6,99,43.674105
330.2,91,44.149539
313.6,99,44.624306
286.4,85,45.043032
300.0,92,45.500996
283.6,99,45.992661
313.4,100,46.491173
314.4,95,46.968078
298.6,99,47.318936
313.4,100,47.692472
328.6,99,48.091414
284.0,97,90.069159
328.8,98,90.546222
298.6,99,91.021815
299.4,95,91.493943
298.4,100,91.904498
285.0,92,92.244967
328.4,100,92.68287
315.4,90,93.0494
284.8,93,93.406857
299.2,96,93.774801
298.6,99,137.879118
298.8,98,138.336477
313.8,98,138.824782
314.4,95,139.283894
285.0,92,139.773983
313.6,99,140.257699
285.2,91,140.716555
284.4,95,141.195491
313.8,98,141.692374
313.8,98,142.21814
316.0,87,142.595766
315.4,90,187.109491
269.6,94,187.588323
283.8,98,188.165139
298.6,99,188.903261
314.0,97,189.614657
299.2,96,190.206045
299.4,95,190.66508
299.4,95,191.125839
314.4,95,191.619724
313.6,99,192.095856
313.4,100,192.634362
268.6,99,236.113106
315.2,91,236.57049
298.6,99,237.070879
298.4,100,237.586323
300.0,92,238.042484
298.6,99,238.528515
300.6,89,239.022657
300.0,92,239.393116
329.4,95,239.777493
328.8,98,240.201958
299.0,97,240.57818
313.8,98,284.056576
299.4,95,284.587416
269.0,97,285.060729
343.6,99,285.605381
285.6,89,286.099285
300.6,89,286.598551
316.6,84,286.960251
284.2,96,287.368402
302.6,79,287.681889
300.0,92,288.011369
314.0,97,288.439581
299.2,96,328.439447
285.0,92,328.947737
300.0,92,329.419041
298.4,100,330.000874
330.6,89,330.570183
284.6,94,331.050052
299.4,95,331.578733
313.6,99,332.150976
299.4,95,332.635574
313.8,98,333.114083
299.8,93,371.281222
298.6,99,371.820098
283.8,98,372.347951
284.6,94,372.86447
314.0,97,373.406043
313.8,98,373.933756
300.6,89,374.329059
301.4,85,374.843017
330.8,88,375.205862
313.6,99,375.631254
299.8,93,376.050469
314.4,95,414.150306
302.6,79,414.588187
328.4,100,415.085335
314.2,96,415.590187
268.4,100,416.088602
299.2,96,416.591794
298.6,99,417.134509
284.4,95,417.635152
301.8,83,418.02438
283.4,100,418.512681
314.0,97,418.95391
299.8,93,459.464221
313.8,98,459.964321
298.8,98,460.506704
298.4,100,461.047249
329.0,97,461.561267
298.6,99,462.034556
298.4,100,462.449074
314.4,95,462.837364
329.2,96,463.307986
314.6,94,463.826014
298.8,98,464.330977
301.2,86,504.116797
328.6,99,504.62884
298.8,98,505.164813
313.4,100,505.680063
301.0,87,506.035598
285.8,88,506.520377
300.0,92,507.068381
329.2,96,507.458559
329.4,95,507.920168
299.6,94,508.372701
313.6,99,508.899074
301.2,86,548.596084
283.6,99,549.36329
268.8,98,549.965199
313.6,99,550.500526
287.4,80,550.903435
298.4,100,551.380254
314.8,93,551.799673
284.6,94,552.176952
284.0,97,552.64941
313.4,100,553.139031
