#{"t_start": 1765429416.0651414, "env_id": "None"}
r,l,t
328.6,99,0.701902
298.8,98,1.193397
300.4,90,1.687883
299.2,96,2.327603
298.6,99,2.941329
283.8,98,3.402929
268.4,100,3.973291
283.6,99,4.435627
331.4,85,4.818197
313.4,100,5.25066
283.4,100,43.733987
314.4,95,44.220062
313.8,98,44.697454
313.6,99,45.166052
284.0,97,45.668175
329.6,94,46.133607
319.2,71,46.478627
315.4,90,46.945005
317.4,80,47.25346
313.6,99,47.593955
299.6,94,47.97253
314.6,94,89.889843
284.0,97,90.376264
313.8,98,90.856605
284.0,97,91.362761
313.4,100,91.749146
298.6,99,92.143134
313.8,98,92.564548
313.8,98,92.962582
298.4,100,93.342993
283.8,98,93.744294
298.4,100,94.11031
299.8,93,138.24883
298.8,98,138.724869
284.6,94,139.204889
298.4,100,139.70954
313.8,98,140.205651
313.4,100,140.711551
328.8,98,141.201238
299.0,97,141.690473
314.2,96,142.207256
314.4,95,142.62909
330.6,89,187.134775
314.4,95,187.613582
316.6,84,188.121143
302.0,82,188.65588
316.0,87,189.366046
298.8,98,190.014282
313.4,100,190.534451
284.8,93,190.976211
329.6,94,191.451684
298.8,98,191.944038
299.0,97,192.470081
328.4,100,235.97011
284.2,96,236.414275
314.4,95,236.902781
313.4,100,237.409353
329.2,96,237.893206
314.8,93,238.35378
329.2,96,238.832281
299.2,96,239.296415
285.8,88,239.64318
298.6,99,240.082584
329.2,96,240.477577
301.2,86,283.814366
313.4,100,284.386504
299.0,97,284.859445
284.6,94,285.358628
344.2,96,285.891984
300.6,89,286.376011
316.4,85,286.829259
298.6,99,287.181757
298.6,99,287.654763
299.4,95,288.001419
329.0,97,288.39255
298.8,98,328.397472
298.6,99,328.937191
299.4,95,329.43378
284.2,96,329.979167
343.4,100,330.618121
283.8,98,331.120675
300.0,92,331.62795
299.2,96,332.192123
284.6,94,332.670249
283.4,100,333.161462
330.2,91,371.315541
301.4,85,371.776349
300.6,89,372.256289
332.6,79,372.693447
313.4,100,373.238474
313.6,99,373.788177
314.0,97,374.259531
298.4,100,374.820063
299.0,97,375.241193
298.4,100,375.660566
284.2,96,376.094692
283.8,98,414.210523
314.0,97,414.755058
299.4,95,415.223014
299.0,97,415.737474
299.0,97,416.21478
300.0,92,416.667194
315.4,90,417.184437
314.4,95,417.68537
298.8,98,418.143772
314.2,96,418.625692
298.4,100,419.075033
283.4,100,459.628498
344.0,97,460.126186
314.2,96,460.65909
313.4,100,461.164025
314.2,96,461.697509
299.4,95,462.13828
298.8,98,462.53322
313.4,100,462.964651
314.2,96,463.430841
299.0,97,463.983318
287.6,79,464.38776
285.6,89,504.187466
270.4,90,504.644212
298.6,99,505.188991
313.8,98,505.702854
268.8,98,506.107727
299.2,96,506.6508
315.4,90,507.144885
301.4,85,507.49769
314.2,96,507.972021
313.4,100,508.450998
299.2,96,508.9654
328.6,99,548.799054
284.0,97,549.516602
299.6,94,550.073305
300.6,89,550.55298
300.4,90,550.989262
314.4,95,551.472092
314.2,96,551.889798
287.4,80,552.201599
314.2,96,552.661966
315.2,91,553.106819
317.0,82,553.487144
