#{"t_start": 1765429416.016235, "env_id": "None"}
r,l,t
300.2,91,0.713287
299.2,96,1.201536
298.4,100,1.736254
313.4,100,2.405248
285.8,88,2.950798
313.6,99,3.384722
283.6,99,3.989087
284.4,95,4.425011
328.8,98,4.879402
285.2,91,5.256578
328.4,100,43.735456
299.8,93,44.225743
300.4,90,44.661711
284.2,96,45.127269
300.0,92,45.584226
299.0,97,46.066171
283.8,98,46.556393
283.4,100,47.056333
313.4,100,47.413455
271.4,85,47.734891
285.2,91,48.090732
300.8,88,89.996233
298.6,99,90.492843
284.2,96,90.969332
302.4,80,91.391322
299.2,96,91.751116
328.4,100,92.167606
284.0,97,92.558486
314.0,97,92.966537
298.4,100,93.360807
314.0,97,93.737833
329.0,97,94.113196
315.2,91,138.211149
283.4,100,138.703473
299.4,95,139.189065
316.4,85,139.597168
315.0,92,140.099679
299.2,96,140.560254
298.6,99,141.062058
300.4,90,141.5104
313.6,99,142.069779
328.8,98,142.52231
298.4,100,142.915226
314.6,94,187.513354
284.0,97,188.076942
268.4,100,188.731427
298.8,98,189.505273
283.4,100,190.171389
299.6,94,190.62797
299.0,97,191.089974
269.6,94,191.577668
315.8,88,192.013331
302.6,79,192.427392
268.4,100,235.950552
313.8,98,236.410934
349.2,71,236.763482
298.8,98,237.280267
283.8,98,237.768288
314.2,96,238.248341
299.2,96,238.720944
299.0,97,239.219495
300.6,89,239.565986
268.4,100,239.994324
299.6,94,240.376885
313.4,100,283.731964
328.6,99,284.311845
328.6,99,284.833825
313.4,100,285.346536
300.4,90,285.852732
299.2,96,286.369482
314.2,96,286.8834
313.6,99,287.233903
283.4,100,287.709528
268.6,99,288.070194
283.4,100,288.489336
275.6,64,328.356453
300.4,90,328.799214
283.4,100,329.335018
299.8,93,329.823261
299.0,97,330.425438
328.8,98,330.963256
343.4,100,331.535045
285.0,92,332.050919
283.8,98,332.577243
270.2,91,333.035624
330.8,88,333.45426
299.0,97,371.679507
300.8,88,372.157403
314.6,94,372.672925
329.0,97,373.196155
316.0,87,373.684794
300.6,89,374.160385
298.6,99,374.663946
344.0,97,375.176679
314.6,94,375.555661
316.0,87,375.904038
329.2,96,376.345662
314.2,96,414.489823
298.4,100,415.009377
317.8,78,415.418429
328.6,99,415.944619
300.2,91,416.389285
299.2,96,416.869755
298.6,99,417.405463
284.4,95,417.906804
299.2,96,418.355191
284.2,96,418.799058
284.4,95,419.258282
299.8,93,459.799426
298.4,100,460.317623
298.4,100,460.867096
316.6,84,461.284154
299.0,97,461.811807
313.4,100,462.28979
268.4,100,462.698654
315.2,91,463.079316
301.0,87,463.502221
269.4,95,464.042256
328.8,98,503.896067
299.2,96,504.374388
268.8,98,504.893492
319.0,72,505.285431
285.2,91,505.757786
300.6,89,506.119834
268.6,99,506.669924
346.0,87,507.160653
313.4,100,507.592687
283.4,100,508.079803
313.6,99,508.554633
313.6,99,548.143978
298.4,100,548.981136
313.4,100,549.698464
300.6,89,550.190523
269.0,97,550.715829
298.6,99,551.201116
313.8,98,551.691765
284.4,95,552.06763
298.6,99,552.486794
298.4,100,552.977983
298.8,98,553.451726
