#{"t_start": 1765429416.032267, "env_id": "None"}
r,l,t
316.2,86,0.672864
313.4,100,1.179482
298.4,100,1.711741
329.0,97,2.359255
269.8,93,2.940863
283.4,100,3.376707
314.6,94,3.962253
298.4,100,4.415446
314.8,93,4.840492
299.4,95,5.249295
314.0,97,43.70258
284.0,97,44.215736
298.4,100,44.698531
314.2,96,45.163157
314.4,95,45.645033
313.4,100,46.146608
316.6,84,46.559377
284.2,96,47.040301
301.2,86,47.348457
299.2,96,47.709205
284.6,94,48.076706
314.0,97,90.028058
315.6,89,90.470789
298.6,99,90.963451
283.6,99,91.470125
287.0,82,91.761289
314.0,97,92.160343
299.6,94,92.561866
314.0,97,92.952511
283.8,98,93.340258
283.6,99,93.725278
328.4,100,94.110848
313.4,100,138.267015
329.0,97,138.737067
269.0,97,139.23107
299.2,96,139.719585
313.6,99,140.222109
299.8,93,140.682019
314.0,97,141.181151
298.4,100,141.674655
313.4,100,142.223591
313.6,99,142.657948
269.6,94,187.188997
299.6,94,187.662551
314.0,97,188.237364
286.8,83,188.837188
299.0,97,189.581707
284.0,97,190.205668
284.2,96,190.66775
315.2,91,191.103589
284.8,93,191.586304
315.0,92,192.041006
299.2,96,192.574834
299.6,94,236.023635
314.2,96,236.476496
313.8,98,236.983716
285.0,92,237.449031
298.4,100,237.949367
313.6,99,238.437689
299.4,95,238.930407
314.2,96,239.358751
283.8,98,239.766609
314.2,96,240.181646
284.6,94,240.576613
330.8,88,283.961001
329.4,95,284.485358
313.6,99,284.962712
286.8,83,285.411512
315.0,92,285.918815
298.8,98,286.469373
283.8,98,286.947217
314.0,97,287.302153
314.2,96,287.738597
298.8,98,288.095404
283.4,100,288.539068
299.2,96,328.541
302.0,82,328.992169
299.2,96,329.487246
331.8,83,329.942156
313.6,99,330.58485
303.2,76,330.962667
283.6,99,331.533746
315.0,92,332.05146
299.2,96,332.561211
329.0,97,333.036175
298.6,99,333.520375
300.4,90,371.718075
269.4,95,372.229265
300.0,92,372.740358
314.8,93,373.240585
298.4,100,373.797751
298.6,99,374.284551
329.0,97,374.819373
299.8,93,375.23779
299.4,95,375.626981
298.8,98,376.066224
287.0,82,376.42993
314.0,97,414.619946
283.6,99,415.132046
300.2,91,415.593641
298.6,99,416.093287
269.2,96,416.603802
316.0,87,417.081096
284.4,95,417.559642
314.0,97,418.059312
313.4,100,418.544436
299.0,97,418.954951
313.4,100,459.515953
314.0,97,460.015647
313.4,100,460.562132
314.2,96,461.078213
313.4,100,461.616214
330.0,92,462.05081
328.6,99,462.486965
298.8,98,462.881849
299.0,97,463.339994
298.6,99,463.883551
301.4,85,464.315292
301.2,86,504.1345
283.6,99,504.623224
283.4,100,505.15794
300.0,92,505.637981
301.6,84,506.007704
284.6,94,506.487659
344.2,96,507.064806
299.8,93,507.469413
283.6,99,507.909105
298.8,98,508.392336
298.6,99,508.919453
313.4,100,548.708958
284.2,96,549.44505
283.4,100,550.058204
315.0,92,550.550769
314.0,97,551.028716
283.4,100,551.546604
314.8,93,551.93828
298.4,100,552.341815
301.2,86,552.763336
300.4,90,553.199679
