#{"t_start": 1765429416.0241797, "env_id": "None"}
r,l,t
317.2,81,0.660272
314.6,94,1.129901
314.8,93,1.628126
315.0,92,2.206832
328.4,100,2.862748
314.4,95,3.312966
299.4,95,3.871427
298.6,99,4.322449
298.6,99,4.785253
299.6,94,5.177452
285.2,91,43.582572
299.4,95,44.100517
283.8,98,44.584151
314.6,94,45.040961
313.6,99,45.5309
283.4,100,46.031567
283.4,100,46.525451
298.6,99,47.031947
316.4,85,47.33697
298.6,99,47.704086
343.4,100,48.094867
283.8,98,90.058701
299.2,96,90.524788
284.0,97,90.998163
343.4,100,91.508372
269.6,94,91.882014
313.8,98,92.269437
298.6,99,92.700185
313.6,99,93.096859
299.0,97,93.464707
298.6,99,93.846375
299.0,97,137.940771
298.8,98,138.394149
314.4,95,138.867194
284.6,94,139.335952
301.8,83,139.758667
298.4,100,140.262314
283.4,100,140.768315
283.4,100,141.263064
299.4,95,141.751966
300.2,91,142.248217
300.4,90,142.635395
314.2,96,187.173024
313.6,99,187.674311
299.6,94,188.235676
313.4,100,188.977541
284.6,94,189.664554
298.4,100,190.288522
268.4,100,190.769927
329.8,93,191.222697
313.4,100,191.739734
283.4,100,192.219984
314.4,95,192.726536
283.8,98,236.21305
299.4,95,236.685966
313.6,99,237.184627
299.6,94,237.668638
300.0,92,238.129817
328.6,99,238.614324
283.4,100,239.153571
284.0,97,239.5233
313.6,99,239.941832
301.2,86,240.318099
298.8,98,283.610972
314.4,95,284.176169
298.4,100,284.734208
284.0,97,285.203676
283.6,99,285.756053
314.0,97,286.282014
314.6,94,286.794216
299.2,96,287.164739
316.6,84,287.549376
329.0,97,287.917564
268.4,100,288.335171
298.4,100,328.335927
269.0,97,328.81806
254.0,97,329.333099
299.0,97,329.836396
284.6,94,330.434768
298.4,100,330.99071
300.2,91,331.503989
299.4,95,332.036949
301.2,86,332.502118
299.4,95,332.979943
300.2,91,333.416445
315.4,90,371.601292
330.0,92,372.099796
298.4,100,372.647433
313.4,100,373.18821
314.4,95,373.720739
329.4,95,374.223454
268.4,100,374.755303
314.0,97,375.218685
315.2,91,375.585437
313.6,99,376.023475
285.4,90,376.412982
313.4,100,414.596693
329.4,95,415.091559
298.6,99,415.594901
314.0,97,416.079851
300.8,88,416.561908
328.4,100,417.099817
298.8,98,417.602998
314.6,94,418.079276
300.8,88,418.499862
314.0,97,418.928065
298.4,100,459.462929
314.0,97,459.989872
269.4,95,460.490396
330.8,88,460.967966
330.6,89,461.429405
284.2,96,461.908555
299.8,93,462.358187
315.4,90,462.723919
298.4,100,463.151313
298.4,100,463.650058
315.0,92,464.17592
328.6,99,504.043721
299.0,97,504.511818
283.6,99,505.042566
284.0,97,505.544309
315.6,89,505.948715
329.6,94,506.423363
300.6,89,506.931895
299.0,97,507.422404
298.8,98,507.849153
298.4,100,508.335514
299.0,97,508.842035
329.0,97,548.499858
298.4,100,549.341633
284.2,96,549.952806
314.4,95,550.467722
300.2,91,550.95349
300.4,90,551.369317
298.4,100,551.814036
328.8,98,552.229605
299.8,93,552.667876
313.8,98,553.141757
313.6,99,553.597062
