#{"t_start": 1765429416.0745208, "env_id": "None"}
r,l,t
300.0,92,0.655001
313.4,100,1.162314
299.8,93,1.660895
299.2,96,2.307296
299.0,97,2.911776
283.6,99,3.347359
316.2,86,3.8811
284.4,95,4.314286
315.8,88,4.72574
298.4,100,5.142304
328.8,98,43.588299
298.8,98,44.122944
298.6,99,44.609452
298.4,100,45.089447
314.4,95,45.569779
298.4,100,46.068095
268.8,98,46.542297
313.4,100,47.029133
268.6,99,47.397022
298.4,100,47.765759
283.4,100,48.180206
283.8,98,90.16064
314.2,96,90.632064
316.0,87,91.045761
300.2,91,91.497204
331.6,84,91.839491
314.4,95,92.213672
298.4,100,92.649844
298.4,100,93.048829
345.0,92,93.404439
328.6,99,93.78314
268.6,99,137.880396
315.4,90,138.298013
301.0,87,138.717495
298.4,100,139.223053
299.4,95,139.708326
270.2,91,140.173831
298.6,99,140.666083
343.4,100,141.164154
298.8,98,141.660556
345.8,88,142.148082
345.6,89,142.544527
283.6,99,187.078823
299.4,95,187.561498
329.4,95,188.128354
313.6,99,188.82277
314.8,93,189.532709
328.4,100,190.177201
283.4,100,190.654553
316.2,86,191.067507
298.6,99,191.584328
284.2,96,192.056762
299.4,95,192.572146
299.6,94,236.030949
287.4,80,236.4059
298.4,100,236.92024
313.6,99,237.424785
269.2,96,237.89998
299.6,94,238.363637
299.2,96,238.856542
303.0,77,239.228647
313.8,98,239.615448
298.4,100,240.064177
328.8,98,240.46081
298.8,98,283.879356
300.2,91,284.387279
299.2,96,284.856083
284.6,94,285.356607
284.2,96,285.890515
298.6,99,286.454304
284.6,94,286.903134
285.8,88,287.210404
329.2,96,287.665734
283.6,99,288.025305
285.2,91,288.40234
313.8,98,328.408451
283.6,99,328.957327
313.4,100,329.474293
285.2,91,329.99764
314.0,97,330.610747
313.4,100,331.129875
318.8,73,331.543955
254.8,93,332.081801
298.6,99,332.589056
299.0,97,333.064564
300.8,88,333.478121
314.0,97,371.725626
314.8,93,372.226348
317.2,81,372.673031
270.0,92,373.17173
299.4,95,373.703626
288.0,77,374.112988
300.6,89,374.55097
283.8,98,375.083158
300.0,92,375.449105
298.4,100,375.876914
303.0,77,376.214457
313.4,100,414.369282
313.6,99,414.913938
328.6,99,415.409714
313.4,100,415.915395
313.8,98,416.425487
285.2,91,416.894261
298.4,100,417.419891
299.0,97,417.924312
314.4,95,418.344385
298.4,100,418.826512
328.6,99,459.353228
314.4,95,459.868406
313.6,99,460.388962
343.6,99,460.921638
299.4,95,461.435234
301.0,87,461.853194
287.6,79,462.241302
284.8,93,462.616559
298.8,98,463.031606
299.8,93,463.483993
300.0,92,464.014389
300.6,89,503.818146
268.6,99,504.309172
298.8,98,504.831179
298.6,99,505.344039
284.2,96,505.793097
313.6,99,506.281205
313.6,99,506.842429
314.2,96,507.334904
328.4,100,507.783052
284.2,96,508.241091
315.0,92,508.728265
299.6,94,548.327097
299.2,96,549.141608
299.4,95,549.783279
298.4,100,550.325692
313.8,98,550.860924
298.4,100,551.318976
269.6,94,551.735566
286.2,86,552.104339
328.6,99,552.559079
314.0,97,553.023116
284.6,94,553.477765
