#{"t_start": 1765429416.0006635, "env_id": "None"}
r,l,t
299.8,93,0.741409
313.4,100,1.240799
299.8,93,1.742734
299.0,97,2.390859
298.4,100,3.0109
284.0,97,3.465389
301.4,85,3.966065
298.8,98,4.412071
313.4,100,4.872096
300.2,91,5.258258
299.0,97,43.708336
283.6,99,44.241315
300.6,89,44.668733
328.8,98,45.146857
298.8,98,45.637613
299.6,94,46.102929
298.4,100,46.598012
300.2,91,47.061486
314.0,97,47.404356
298.4,100,47.779696
330.0,92,48.138754
285.4,90,90.074797
314.0,97,90.548304
314.0,97,91.019671
283.4,100,91.531888
299.0,97,91.913348
329.6,94,92.287529
314.0,97,92.710714
329.4,95,93.093266
299.4,95,93.451549
286.2,86,93.787567
285.6,89,94.128767
300.0,92,138.230736
299.0,97,138.705007
299.6,94,139.186256
313.6,99,139.676686
313.6,99,140.194167
328.6,99,140.670461
299.0,97,141.185361
269.8,93,141.634532
298.4,100,142.198761
299.6,94,142.614371
299.4,95,187.126144
298.6,99,187.626791
313.4,100,188.226734
314.8,93,188.878021
314.6,94,189.598525
298.4,100,190.246785
299.2,96,190.703366
298.6,99,191.186398
284.0,97,191.690626
318.2,76,192.056639
314.2,96,192.590535
314.6,94,236.044631
299.8,93,236.476748
299.8,93,236.955534
315.2,91,237.42083
285.2,91,237.876898
284.4,95,238.360761
299.0,97,238.836214
284.8,93,239.292471
317.2,81,239.615241
313.6,99,240.038237
301.4,85,240.386677
328.6,99,283.724436
284.6,94,284.28169
283.8,98,284.801978
299.2,96,285.291589
298.4,100,285.850707
299.6,94,286.359328
314.8,93,286.860526
328.6,99,287.222483
299.2,96,287.689015
313.8,98,288.024143
284.4,95,288.415064
299.2,96,328.428085
284.2,96,328.913928
268.6,99,329.444337
298.6,99,329.989649
285.0,92,330.570486
313.8,98,331.107343
298.6,99,331.66108
314.2,96,332.214505
271.2,86,332.651635
284.8,93,333.104841
301.2,86,333.520634
283.4,100,371.770295
300.0,92,372.264886
328.8,98,372.81145
285.0,92,373.311781
284.6,94,373.829355
299.6,94,374.302405
329.8,93,374.811034
286.4,85,375.228642
313.4,100,375.62331
313.4,100,376.069149
313.6,99,376.488603
314.4,95,414.687996
283.6,99,415.179123
300.8,88,415.636803
300.4,90,416.082713
283.6,99,416.618883
285.4,90,417.106582
298.4,100,417.624503
299.4,95,418.101778
301.8,83,418.482382
314.8,93,418.905562
300.4,90,419.342947
315.8,88,459.863049
300.2,91,460.333194
298.8,98,460.873134
300.6,89,461.313229
299.0,97,461.840794
315.4,90,462.270012
299.0,97,462.664087
286.6,84,463.007735
283.8,98,463.485623
299.8,93,464.014349
298.4,100,464.558418
314.0,97,504.360924
313.8,98,504.878555
284.0,97,505.384604
301.2,86,505.821112
314.2,96,506.253436
283.4,100,506.81809
314.8,93,507.31714
298.4,100,507.747996
298.4,100,508.228213
256.6,84,508.646814
330.2,91,548.20375
300.2,91,548.970301
284.4,95,549.654408
300.0,92,550.179369
298.8,98,550.708624
315.2,91,551.153308
313.4,100,551.657792
313.6,99,552.064654
329.2,96,552.454961
298.6,99,552.947226
331.8,83,553.357222
