#{"t_start": 1765429416.0705209, "env_id": "None"}
r,l,t
283.8,98,0.689448
284.2,96,1.17686
329.6,94,1.690873
329.0,97,2.338331
285.2,91,2.90462
253.4,100,3.340461
313.4,100,3.953645
283.4,100,4.416059
268.8,98,4.865316
299.0,97,5.276049
328.6,99,43.770871
313.4,100,44.273224
300.8,88,44.696088
328.4,100,45.170707
298.6,99,45.684056
269.0,97,46.155373
298.4,100,46.66266
315.0,92,47.0707
301.2,86,47.394101
299.8,93,47.735874
299.6,94,48.115344
316.6,84,90.029497
298.8,98,90.503741
283.4,100,90.986103
331.8,83,91.435885
298.6,99,91.815011
298.6,99,92.211652
315.2,91,92.601905
301.0,87,92.946124
329.8,93,93.308527
316.8,83,93.645497
284.4,95,93.994669
328.4,100,138.13905
314.2,96,138.595474
269.6,94,139.077136
317.6,79,139.463671
285.2,91,139.945034
284.0,97,140.422805
271.0,87,140.862945
300.0,92,141.329077
284.2,96,141.850011
328.4,100,142.334907
316.8,83,142.676187
284.2,96,187.253007
284.2,96,187.752394
314.0,97,188.33557
314.0,97,189.115367
284.0,97,189.779041
314.4,95,190.333625
300.4,90,190.769778
314.6,94,191.228266
314.4,95,191.720873
299.0,97,192.18625
284.0,97,192.692865
328.8,98,236.178183
298.4,100,236.685157
313.6,99,237.186378
300.6,89,237.645479
298.6,99,238.137687
299.0,97,238.614709
299.2,96,239.124085
298.6,99,239.505785
328.8,98,239.918692
298.8,98,240.326612
299.4,95,283.64467
299.4,95,284.212338
328.8,98,284.732121
328.8,98,285.234434
298.6,99,285.784864
298.4,100,286.330545
314.0,97,286.843565
313.4,100,287.192597
285.0,92,287.643364
313.6,99,288.004156
314.0,97,288.399262
298.6,99,328.40591
268.4,100,328.96033
330.2,91,329.4284
269.2,96,329.975799
315.4,90,330.547614
313.4,100,331.073986
283.4,100,331.622571
299.8,93,332.169715
283.8,98,332.669996
285.4,90,333.107913
314.8,93,333.557184
300.4,90,371.760925
283.4,100,372.299641
302.2,81,372.751634
313.6,99,373.301163
328.4,100,373.840288
299.4,95,374.281241
314.8,93,374.827193
283.8,98,375.235813
286.6,84,375.592742
283.6,99,376.030553
270.4,90,414.107499
298.4,100,414.665134
328.8,98,415.150578
314.0,97,415.668103
298.6,99,416.151414
299.4,95,416.638192
329.6,94,417.16446
328.8,98,417.679991
298.8,98,418.140399
314.0,97,418.624327
329.6,94,419.043644
299.0,97,459.579279
313.4,100,460.08986
271.2,86,460.57036
314.0,97,461.095476
316.2,86,461.554271
298.6,99,462.023938
328.8,98,462.451805
315.6,89,462.806839
313.8,98,463.267901
285.2,91,463.761836
298.6,99,464.268555
313.6,99,504.136984
298.8,98,504.632812
315.0,92,505.138321
315.8,88,505.593696
298.4,100,506.03592
283.6,99,506.561712
270.4,90,507.098331
285.2,91,507.466027
298.6,99,507.945118
299.8,93,508.390756
299.8,93,508.888795
283.4,100,548.682119
299.0,97,549.423133
316.0,87,549.954897
318.4,75,550.361082
301.2,86,550.831925
301.2,86,551.24625
302.8,78,551.629566
299.4,95,552.007322
298.4,100,552.428637
287.6,79,552.819599
328.6,99,553.298187
