#{"t_start": 1765429416.0094943, "env_id": "None"}
r,l,t
314.2,96,0.732579
316.0,87,1.189348
298.4,100,1.714233
315.6,89,2.327498
298.6,99,2.933805
268.6,99,3.377169
298.6,99,3.979026
301.2,86,4.366634
283.4,100,4.834695
315.0,92,5.213555
315.0,92,43.624375
299.4,95,44.14476
284.6,94,44.605832
298.8,98,45.084203
298.4,100,45.578911
299.0,97,46.06283
299.0,97,46.545826
285.0,92,47.022219
284.0,97,47.37123
284.0,97,47.738631
301.4,85,48.06249
284.4,95,89.996952
284.0,97,90.482414
315.2,91,90.929516
313.8,98,91.434993
268.6,99,91.824535
316.4,85,92.166552
314.4,95,92.559703
298.4,100,92.969263
298.4,100,93.36303
316.6,84,93.702512
283.6,99,94.065631
316.0,87,138.147859
299.4,95,138.604648
314.0,97,139.10621
313.6,99,139.579328
300.2,91,140.072578
283.6,99,140.551325
298.4,100,141.059632
283.8,98,141.552106
298.6,99,142.107611
313.8,98,142.562483
283.8,98,142.92782
302.6,79,187.470881
313.6,99,188.038149
298.4,100,188.657618
313.4,100,189.462936
269.0,97,190.109345
315.0,92,190.581129
299.2,96,191.035883
299.8,93,191.507331
270.0,92,191.964088
299.4,95,192.469349
298.4,100,235.984028
316.2,86,236.384883
314.6,94,236.856913
299.0,97,237.360363
299.2,96,237.842212
330.8,88,238.288386
298.8,98,238.772471
286.8,83,239.207386
313.8,98,239.582807
300.0,92,239.97498
268.4,100,240.385632
301.8,83,283.644222
298.6,99,284.229603
283.8,98,284.767788
317.6,79,285.1497
283.4,100,285.700373
298.4,100,286.244814
299.2,96,286.772742
313.4,100,287.170389
298.4,100,287.633403
314.8,93,287.962032
268.6,99,288.373181
283.4,100,328.395559
343.6,99,328.880438
315.2,91,329.364524
301.2,86,329.823978
313.6,99,330.438892
283.8,98,330.974007
285.2,91,331.494667
301.4,85,331.965215
302.6,79,332.412788
284.2,96,332.899961
300.0,92,333.331964
268.8,98,371.557958
298.8,98,372.089828
300.0,92,372.573749
300.4,90,373.078124
313.4,100,373.635686
328.6,99,374.165851
328.6,99,374.670687
313.4,100,375.196102
299.6,94,375.572444
298.4,100,375.995199
298.6,99,376.427668
330.0,92,414.575953
299.2,96,415.074558
285.0,92,415.546823
283.4,100,416.040679
331.4,85,416.505756
299.2,96,417.016079
300.4,90,417.473545
330.2,91,417.949015
284.4,95,418.386289
283.4,100,418.841589
328.8,98,419.328091
315.0,92,459.87206
313.4,100,460.396933
315.0,92,460.897506
299.8,93,461.362951
268.6,99,461.877391
284.0,97,462.352739
298.4,100,462.757994
329.4,95,463.165999
299.6,94,463.631532
314.4,95,464.174178
283.8,98,504.033877
301.8,83,504.432772
284.4,95,504.935412
315.2,91,505.409066
313.8,98,505.864143
298.8,98,506.351935
300.8,88,506.853467
284.0,97,507.359022
299.4,95,507.769382
315.8,88,508.200118
314.6,94,508.668769
314.0,97,548.271099
302.8,78,548.942271
313.6,99,549.660825
298.6,99,550.218724
328.6,99,550.756341
287.4,80,551.140464
298.4,100,551.648961
302.2,81,551.98224
314.8,93,552.347528
315.0,92,552.797666
299.6,94,553.260309
