#{"t_start": 1765429416.0564384, "env_id": "None"}
r,l,t
313.6,99,0.709603
315.6,89,1.166958
343.8,98,1.688201
313.8,98,2.343593
285.8,88,2.891864
314.2,96,3.314603
313.6,99,3.922082
298.6,99,4.372746
300.2,91,4.796276
299.0,97,5.202483
313.6,99,43.665075
283.6,99,44.193573
315.6,89,44.627534
344.6,94,45.083044
286.0,87,45.511869
299.2,96,45.995287
286.2,86,46.410791
299.6,94,46.902059
298.8,98,47.286166
314.0,97,47.626548
329.0,97,48.011532
283.4,100,89.972696
314.0,97,90.459628
329.8,93,90.914603
328.6,99,91.432807
313.8,98,91.805674
314.4,95,92.173177
298.6,99,92.605445
298.6,99,93.011246
298.6,99,93.384576
300.0,92,93.759017
298.8,98,94.113987
283.6,99,138.28548
300.2,91,138.72335
299.4,95,139.207554
284.8,93,139.668597
298.6,99,140.187551
328.8,98,140.67517
301.2,86,141.112894
313.4,100,141.608908
343.6,99,142.152867
283.6,99,142.585602
313.4,100,187.143478
331.2,86,187.571016
345.2,91,188.119849
317.4,80,188.628782
283.8,98,189.418006
298.6,99,190.076718
300.0,92,190.541146
313.6,99,191.008741
283.8,98,191.518849
313.6,99,192.00689
345.6,89,192.499565
283.6,99,235.984838
298.8,98,236.446306
283.4,100,236.959544
298.4,100,237.468257
284.2,96,237.946185
300.0,92,238.397789
283.6,99,238.914278
269.6,94,239.33458
300.2,91,239.703295
298.6,99,240.133588
314.8,93,240.53192
284.2,96,283.948191
313.8,98,284.487868
283.4,100,284.968456
313.4,100,285.519282
285.2,91,286.019306
284.8,93,286.561853
315.0,92,286.971096
314.8,93,287.330729
313.6,99,287.753323
283.6,99,288.127941
330.4,90,288.520918
284.4,95,328.518835
313.6,99,329.058332
299.2,96,329.55684
298.4,100,330.144588
299.6,94,330.691108
313.8,98,331.23965
298.8,98,331.780468
298.4,100,332.345
313.8,98,332.843451
300.0,92,333.280975
329.0,97,371.49645
313.6,99,372.032345
328.6,99,372.562238
285.6,89,373.055882
283.4,100,373.61152
299.4,95,374.120181
286.6,84,374.52148
314.2,96,375.047495
298.4,100,375.467188
313.4,100,375.88939
313.4,100,376.331486
314.8,93,414.471636
330.4,90,414.948519
315.2,91,415.415708
301.8,83,415.856836
299.8,93,416.313686
300.0,92,416.770574
328.4,100,417.318231
285.2,91,417.810229
313.6,99,418.262697
283.8,98,418.714207
287.2,81,419.106384
284.4,95,459.649187
300.0,92,460.116568
313.4,100,460.673818
313.4,100,461.174733
298.6,99,461.72749
298.4,100,462.192898
317.6,79,462.509984
299.0,97,462.905991
253.8,98,463.384404
344.2,96,463.923818
315.2,91,464.396463
315.6,89,504.19494
315.0,92,504.666839
315.0,92,505.170911
299.2,96,505.66621
302.6,79,506.014112
313.6,99,506.519231
269.4,95,507.08708
299.8,93,507.472109
313.4,100,507.947619
284.4,95,508.404839
313.4,100,508.937087
300.0,92,548.684787
315.8,88,549.363079
313.8,98,549.974252
287.8,78,550.395608
314.0,97,550.917822
299.6,94,551.345089
315.4,90,551.749683
330.6,89,552.131373
284.2,96,552.571139
299.8,93,553.01761
284.6,94,553.479429
